stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,0,24.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,126.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.58,3.67,0,0,5.79,0,0,0,0,0,0,0,0,0,0,0,0,94.59,3.29,0,0,31.96,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.18,0,0,0,0,0,0,0,0,0,0,0,0,0,76.48,0,0,0,49.98,0,0,0,4.54,0,0,0,0
 14-21,0,0,0.97,0,2.44,0,0,0,0,0,0,0,0,0,0,0,0,11.68,0,0,0,0,0,0,0.91,0,0,4.12,0,0
 24-34,0,0,3.37,0,4.54,2.25,0,0,0,0,0,0,0,10.3,0,0,1.81,59.8,0,0,0,0,0,0,0,0,0.73,8.77,0.64,0
 36-46,0,0,0.76,0,0.78,0,0,0,0,0,0,0,0,0.63,0,0,0,33.75,0,0,0,0,0,0,0,0,0,8.58,0,0
 48-58,0,0,0.91,0,3.79,0,0,0.48,0,0,0,0,0,5.82,0,0,0,46.34,0,0.41,0.54,0,0,0,0,0,0,8.25,0,0
 60-70,0,0,0.77,0,8.76,0,0,0.98,0,0,0.81,0,0,6.21,0,0,0,49.58,0,0,0,0,0,0,0,0,0,25.61,0,0
 72-82,0,0,0,0,6.43,0,0,0,3.29,0,0,0,0,4.83,0.92,0,0,30.42,0,0,0,0,0,0,0,0,0,9.02,0,7.11
 84-94,0,0,5.99,0,1.6,0,0,0,0,0,0,0.57,6.93,4.39,0,0,0,33.36,0,0,0,0,6.05,3.68,0,0,0,3.98,2.51,0
 96-106,0,0,0.71,0,6.54,0,0,0,0,1,0,0,0,3.7,1.22,0,0,11.09,0,0,1.32,0,0,2.2,0,0,0,0,0,0
108-118,0,0,0,0,3.95,0,0.62,0,0,0.44,0,0,0,3.98,0,0.62,0,54.11,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,10.55,4.75,14.64,0,0,0,0,0,0,0,0,8.63,0,0,1.1,79.57,0,0,0,0,0,3.17,0,0,0,10.2,9.88,0
