stage,blastomeres,epidermis,erythrocytes,eye,glial,immune,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
  3-4,81.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.44,0,0,0,0,0,0,0,0,0,10.74,0,6.69,0,0,0,0
  7-9,0,0,0,5.11,0,0,0,0,0,0,3.3,6.54,24.33,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.54,0,6.12,0,0,0,0
 14-21,0,2.57,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0
 24-34,0,0,0,0,2.04,0,0,0,0,0,0,0,0,0,3.03,0.9,0.72
 36-46,0,0,0,0,1.05,0,0,0,0,0,0,0,0,9.64,0,0,0
 48-58,0,0,0.45,0.94,0,0,0,0,0,0,1.72,0,0,0,0,1.25,0.49
 60-70,0,0,0,0,0,0,0,0.89,0.82,0.6,0,0,0,0.86,0,0,0
 72-82,0,0,0,0,0,0,1.37,0,0,0,1.18,0,0,0,0,0,0
 84-94,0,0,0,0,0,2.95,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.98,0,0,1.75,0,0,0,0,0,0,0,0
