stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,49.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.75,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.6,0,0,0,17.42,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.88,0,0,0,0,0,0,0,3.8,0,0,0,0,0
 24-34,0,0.61,0,0,0,0,0,0,1.16,0,0,0,0,0,0,0,0,0,22.38,0.6,0,0,0,1.64,0,8.1,4.55,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,1.52,0,0,0,0,0,0.72,48.32,1.86,0,1.22,0,0,0,19.29,0,0,0,0,0,0
 48-58,0,0,0,0,15.58,0,0,0,2.31,0,1.13,0,0,0.45,0,0.71,0,0,30.8,1.32,0.44,2.05,0,0,0,40.05,0,0,0,0,0,4.68
 60-70,0,0,4.57,0,63.36,0,0,1.83,0.67,4.11,1.52,0,0,0.84,0,12.07,0,0.6,125.31,7.1,0,0,0,0,0,39.19,4.42,0,0,0,0,0
 72-82,0,0.93,1.15,0,432.97,0.76,0,3.36,28.26,0.56,0,0,0,0,0,13.22,0,0,271.43,1.46,0,0.65,0,0,0,21.32,1.47,0.82,0.66,0,4.5,0
 84-94,0,0,6.32,5.35,376.29,5.92,1.19,0.77,14.26,1.03,0,0,1.58,0.8,0.86,4.71,0.67,1.38,268.36,5.81,3.24,3.86,0,0.94,0,51.46,10.1,0,0,1.04,2.73,0
 96-106,0,0,9.29,9.29,599.52,10.9,0,1.63,18.13,0,0,0,0.62,0,0,9.74,0.6,6.76,259.92,0.58,1.76,11.59,0,6.21,0,35.15,6.53,2.19,2.45,0,3.2,0
108-118,0,0,7.03,5.57,644.1,12.57,0.43,2.01,39.85,0,0,1.07,0.42,0,0.7,8.12,0,0.91,383.96,7.42,0,9.67,0,0.44,0.84,40.14,0,0.89,0,0,0.57,1.55
120,0,0,11.12,4.76,742.44,5.43,0,5.84,82.47,0,0,2.76,0,0,0,8.98,0,11.09,403.81,5.22,3.27,18.66,0,0,0,15.71,23.96,0,0,0,0,0
