stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,1924.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,140.39,5652.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.54,0,0,0,8.05,0,17.06,0,0,0,0,0,0,0,0,0,0
  7-9,22.83,156.79,0,8.67,0,0,407.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3956.04,32.04,0,0,550.37,0,4.29,0,0,0,0,0,0,0,0,0,0
 10-12,0,30.86,0,26.61,0,0,411.55,0,0,0,0,0,8.26,0,0,0,0,0,3.73,0,0,0,0,0,3275.8,21.7,0,0,176.24,0,4.05,0,8.85,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,33.23,4.89,199.03,0,0,0,4.63,0,7.79,0,1.27,0,1.11,0,0,0,73.15,0,0,81.71,1754.4,2.97,5.16,36.82,2.59,0,0,6.2,0,1.2,27.64,735.56,0,0,0,0,1.24
 24-34,0,0,1.79,0,10.66,0,378.61,0,0,1.66,14.52,0,2.21,0,0,0,0.63,0.86,0,6.65,894.52,0,3.54,226.32,4964.58,8.36,7.58,78.23,0,0,1.26,0,0,0,4.9,1262.18,0,0,0.64,0,0
 36-46,0,0,0,0,7.67,2.53,522.76,2.72,0.88,11.85,19.84,0,0,3.6,3.34,0,1.15,4.12,0,8.06,2069.88,0,22.16,471.89,6647.84,7.48,12.13,59.05,0,0,36.39,1.05,0,0,0,1841.38,0,0,9.42,0,0.57
 48-58,2.31,0,0,0,25.07,0,737.25,1.02,9.21,12.57,48.7,0.38,0.48,1.64,1.89,0,0,5.4,1.88,25.32,2857.36,2.48,81.48,407.77,3464.76,15.86,1.34,35.98,0,2.04,8.35,0,0,2.04,0,1015.42,0,9.62,3.78,0,3.17
 60-70,0.81,0,0.57,0,23.69,0,812.37,15.56,6.18,8.97,33.42,0,0,2.3,0,6.76,4.25,21.85,12.07,15,3910.94,0,143.83,371.67,2528.64,17.79,4.32,25.04,0,0,11.09,0,3.74,3.27,0,313.78,0,40.88,6.31,35.68,9.84
 72-82,0,0,3.57,0,36.46,4.97,792.5,18.34,0.8,36.62,53.64,1.19,0,0.68,1.81,2.26,4.78,18.43,0,22.31,4638.91,0,125.66,370.93,2600.6,3.66,5.57,41.1,1.13,5.39,10.04,0,0,0,0,135.35,6.02,77.29,5.83,103.63,17.67
 84-94,5.55,0,0.7,0,45.58,7.34,638.66,8.29,3.77,16.15,52.2,1.17,0.77,9.89,2.7,10.47,12.56,15.24,1.62,40.23,3579.87,1.42,170.13,270.99,1679.18,5.32,4.17,79.43,0,0,9.25,0,0.93,2.48,0,132.46,0,95.18,4.59,101.37,1.75
 96-106,1.12,0,0,0,26.24,3.41,535.37,15.57,3.88,34.63,47.64,1.71,0,6.66,1.36,7.56,9.87,12.29,7.06,6.74,2858.92,1.42,64.6,181.72,1367.84,1.7,6.12,48.76,1.2,25.01,4.47,0,0,0,0,50.72,1.44,56.33,7.4,72.91,3.76
108-118,0,0,0,0,26.14,0.68,561.41,10.35,4.59,11.66,43.11,1.28,0,0,1.27,6.63,8.52,20.47,5.35,26.95,2853.87,3.86,87.33,202.44,1613.85,1.04,1.6,53.08,0,22.35,2.19,0,0,0.66,0,22.11,0,58.94,1.84,82.01,9.34
120,1.12,0,2.96,0,32.04,5.06,640.86,16.34,0,28.97,126.84,5.56,0,10.68,14.64,1.65,8.18,10.37,9.09,13.92,3144.17,1.56,128.42,179.38,2295.91,3.47,0,59.25,0,14.47,0,0,1.04,0,0,52.14,0,130.58,0,276.54,4.83
