stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,gut,immune,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,11.32,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.22,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.96,0,0,0,0,0,0,0,0,0,0,0,0,19.26,0,0,3.89,0,0,0,0
 10-12,0,0,0,0,8.02,0,0,0,0,0,0,0,0,0,3.66,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.43,0,0,0,0,0,0,0,0,0,2.93,0,0.83,0,0,5.2,0,0
 24-34,0,0,0,0,0.63,0,0,0,0,0,0,0,1.24,0,72.22,2.05,0.64,0,0,14.07,0,0
 36-46,0,0,0,0,1.13,0,0,0,0,0,0,0,0,0,298.13,0,0,0,0,37.45,0,0
 48-58,0,0,1.85,0,11.52,1.4,0,0,0,0,0,2.78,0,0,457.6,3.4,0,0,0,38.01,0,0
 60-70,0,0,1.15,0,204.03,7.89,0,0,6.85,0,0,4.25,0,0,1106.45,0,0,0,0,65.04,0,0
 72-82,0,0,0,0,445.35,14.89,0,0,2.65,0,0,1.47,0,0,1330.65,1.19,0,0,0.55,82.02,0,0
 84-94,0,0,13.51,0,439.35,32.25,5.33,0.64,0.56,0.69,0,5.44,0,1.49,1146.66,0,0,4.28,1.62,45.06,0,0
 96-106,0,0,7.93,1.43,510.09,18.82,0,0,0,0,20.14,13.31,0,0,926.02,0,0,0,0.81,20.75,0,0
108-118,0,0,4.72,0,479.96,15.97,1.14,0,1.25,0,0,9.82,0,0,1002.24,0,0,0,0,10.42,1.97,1.05
120,0,0,0,1.89,467.93,58.14,0,0,0,0,20.13,19.13,0,2.62,2156.08,0,0,1.42,0,107.89,9.63,0
