stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,26.87,0,15.16,0,0,0,0,0,0,1.07,0,0,0,0,0,0.85,7.27,0,0,11.65,28.31,1.35,0,1.47,0,2.21,9.47,0,26.93,246.95,1.07,0,0,3.01,0,0
 24-34,0.75,23.61,0,117.59,0,1.2,0,0,0,0,10.15,1.38,0,0,0,0,0,4.79,0,0,0.92,45.28,0,0,0.74,0,0,0,13.46,0,4.33,1.39,0,0,21.73,0,0.71
 36-46,0,19.98,0,200.2,0,4.23,0,0,0,0,4.61,6.31,0,0,0,0,0,23.29,0,1.47,1.85,84.49,0,0,0,0,1.63,0,6.58,0.88,0,4.03,0,0,26.4,0,9.04
 48-58,0,30.07,0,125.81,0.58,1.96,0,0,1.71,1.77,7.06,12.15,0,0,0,0,0,32.53,0,2.63,5,83.66,0,0.6,2.75,0,0,0,17.97,0,0,4.91,0,0,41.84,0,59.58
 60-70,2.7,18.75,0,111.04,0,3.11,0,3.64,34.66,0.98,3.16,19.14,0,0,0.72,24.12,0,104.61,0,0,6.49,81.56,0,0,8.43,0,0,0,10.76,1.58,0,2.65,0,0,43.45,0,88.16
 72-82,8.21,20.07,0,99.96,4.55,1.95,0,21.88,128.39,2.03,13.83,20.39,1.21,0.59,0,0.88,0,204.29,0,1.44,6.62,110.45,0,0,15.44,0,5.28,0,6.09,0,0,0,0,0,74.9,0.71,73.53
 84-94,6.95,29.8,3.96,157.97,3.35,9.35,0.86,8.67,218.49,5.09,10.33,9.95,0,2,1.45,0,0,220.83,0,0,3.82,124.77,0,0,16.43,0,0,0,6.08,0,0,2.12,0,1.15,85.3,3.29,69.68
 96-106,6.33,36.38,6.08,167.8,1.57,0.72,12.44,25.83,429.89,0,5.37,19.33,0.81,1.38,0,1.06,0,226.31,0.71,3.74,6.41,122.47,0,0,30.01,6.11,6.79,0,9.3,0,0,8.24,0.59,0,168.58,0.61,14.61
108-118,6.01,33.04,1.36,127.44,0,0.77,1.19,14.12,1031.94,0,13.65,23.53,4.32,3.52,0,7.94,0,275.54,0,0,1.45,112.86,0,0,19.23,4.11,1.63,0,6.94,0,0,0,0,3.56,98.72,0.95,60.1
120,0,13.7,0,138.2,6.51,2.94,0,53.73,605.15,0,4.91,64.2,0,2.48,0,16.79,0,240.69,0,10.15,0,133.24,0,0,44.11,7,9.74,0,11.42,0,0,10.83,0,0,105.96,24.13,39.58
