stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,18.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.06,0,0,0,0,0,0,0,0,0,0
  5-6,7.81,320.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.79,0,0,0,0,0,7.49,0,0,0,0,0,0,0,0,0,0
  7-9,10.55,21.13,0,35.7,0,0,0,63.01,0,0,0,0,0,15.28,0,0,0,0,0,0,0,0,0,0,398.72,35.48,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,36.55,0,0,0,39.9,0,0,0,0,0,6.95,0,0,0,0,0,0,0,0,0,0,587.03,9.43,0,0,218.24,0,0,0,24.74,0,0,0,0,0,0,0,0
 14-21,2.31,0,0,1.98,7.39,1.96,0,10.28,0,0,0,5.42,0,0,0,0,0,0,0,0,0,5.01,0,3.73,48.56,4.17,0,0.86,1.75,0,2.56,19.67,0,3.4,12.51,12.29,0,0,1.06,0,0
 24-34,0,0,0,0,2.19,0,0,10.98,0,0,0,0,0,0,0,0,1.73,2.16,0,0.74,1.51,15.53,0,3.16,101.17,0,0,1.36,0,0,3.43,0,0,0,2.49,14.4,0,0,1.63,0,0
 36-46,0,0,0,0,2.71,0.6,0,10.08,0,12,0,0,0,0,1.51,0,32.13,0,0.99,0,2.45,9,0,11.13,85.25,0.71,0,0.85,0,0,4.05,0,11.29,0,0,19.24,0,0,0.65,0,0.57
 48-58,0,0,0,0,1.23,1.47,0,15.01,0.81,0,0,4.57,0,0,0,0.49,6.73,0,0,0.87,2.42,9.1,0.83,1.56,65.92,0,8.52,0,0,0,10.72,0,1.65,0,0,7.87,0,0,0.41,0,4.42
 60-70,0,0,0,0,10.07,0,0,34.96,0,0,0,8.83,0.69,0,0,1.8,0.58,6.32,0.7,0,9.3,11.27,0,2.45,39.17,0,0,0,0,0,12.12,0,0,1.34,0,5.53,0,0,0,0,12.48
 72-82,0,0,0,0,4.35,11.56,0,11.23,0,0.56,0.5,11.65,0,0,0,2.95,0,2.9,0,0,0.49,21.62,0,2.51,20.04,0.58,1.51,0.54,0,0,1.4,0,0,0,0,7.66,0,1.7,0.82,0,10.96
 84-94,0,0,0.81,0,2.25,11.45,1.17,22.23,0,0,0,1.89,0.66,0,0,3.54,2.1,3.29,0.78,4.45,6.72,21.88,0,0,40.43,0,0,4.06,0,0,12.19,0,0,0,0,1.84,0,0,1.31,0,5.84
 96-106,0,0,0,0,0.92,0,0,9.59,0,0,1.11,9.81,2.95,0,0.72,1.44,0.61,0,1.56,2.01,0,13.92,0,3.05,25.03,2.06,0,4.19,0,0,10.28,0,0,0,0,0,1.17,0,1.1,3.07,1.72
108-118,0,0,0,0,10.37,2.9,2.12,11.36,2.15,2.79,0.8,6.19,0,0,0,0,9.21,4.86,0.49,2.01,0,22.95,0,2.27,16.81,1.39,0,0,0,0,10.87,0,2.48,0,0,0,0,1.09,1.64,1.26,6.78
120,0,0,0,0,30.87,0,0,37.12,0,1.12,0,0,0,0,0,3.86,4.61,8.57,0,3.33,1.54,0,12.11,4.88,54.33,0,0,0,0,6.67,7.82,0,0,0,0,0,0,1.56,15.05,0,0
