stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,28.3,269.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.45,0,0,0,0,0,0,0
  5-6,33.07,527.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.76,0,0,0,7.11,0,0,0,0,0,0,0,0
  7-9,0,0,6.2,0,0,10.81,0,0,0,14.2,0,0,0,0,0,0,0,120.08,18.51,0,0,63.11,0,0,0,0,0,0,0,0
 10-12,0,0,14.28,0,8.31,17.91,0,0,0,0,0,0,0,0,0,0,0,158.85,0,0,0,59.39,0,0,12.9,0,0,0,0,0
 14-21,0,0,0.94,3.67,2.37,0.9,0,0,0,0,0,0,0,1.69,0,0,3.38,13.07,0.94,1.23,0,0.92,0,4.17,0,4.74,9.01,0,0,0
 24-34,0,0,0,0.84,0,1.36,0,0,1.77,0,0,0,0,5.51,0,0,5.71,19.5,0,0,0,0,0.67,0,0,0.72,2.15,1.33,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.6,0,0,1.81,0,0,0,7.1,0,0.9,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0.55,0,4.03,0,0,5.72,0,0,0,0,2.55,0.41,0.44,0.45,3.17,0,0.58,0,0,0.38,0,0,0,3.37,0,0,0
 60-70,0,0,0,0,0,0.67,0,0.9,0,0,0,0,0,0.87,0,0,0,14.54,0,0.99,0,0,4.12,0,0.68,0,0,5.04,0,0
 72-82,0,0,0,0,0,10.08,0,0,4.5,0,0.6,0,0,6.46,0,0,0.56,5.89,1.26,2.42,0,0,0,0,0,0,0.58,0,0,0
 84-94,0,0,0,2.37,0,5.67,0.59,0,0.55,0,0,0,0,1.69,0,0,0.66,22.29,0,0,0,0,0,0,0.74,0,0,1.81,0.77,9.62
 96-106,0,0,0,0,0,1.5,0,0,1.25,0,0,0.58,0,9.87,0,0,0,4.96,0,2.3,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,1.04,0,0,0,0,1.62,0,2.29,0,0.74,5.41,0,1.28,0,8.22,0,0.63,0.41,0,0.88,0,0,0,0,4.71,0,0.92
120,0,0,0,0,0,0,0,0,0,0,0,1.28,0,0,0,2.61,0,8.31,0,0,0,0,1.34,0,0,0,0,1.82,0,0
