stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,170.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,58.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.04,0,0,0,9.03,0,0,0,0,0,8.93,0,0,0,0,0,0,0,0,0,0,0,44.14,3.58,0,0,15.82,0,3.47,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,10.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.85,3.15,0,0,39.06,0,6.03,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5.91,5.33,0,2.78,0,0,0,2.24,0.85,0,0,0,6.13,0,0,0,0,2.98,0,0,3.27,146.11,7.11,0,0.94,3.08,2,1.23,3.53,3.3,0,3,68.01,0,0,3.78,0,0
 24-34,0,1.37,0,4.94,0.6,0,15.07,0,1.18,0.62,2.91,0,0,0,0,21.77,0,0.73,0,5.89,20.22,0.61,0,7.28,443.03,0,3.71,4.03,0,2.4,0,0,4.81,0.69,4.07,121.71,0,0,22.4,0,1.93
 36-46,0,0.95,0,9.71,0,0,75.35,0,0,2.06,16.86,0,0,3.58,0,7.7,0,0,0,10.65,16.58,0,0.77,3.99,837.04,7.38,11.02,0,0,3.31,0,0,2.07,0,0,176.92,0,0,15.44,0,0.74
 48-58,0,0,0,0.76,0.45,0,242.83,0,0,3.48,42.67,0,0,7.24,0,8.95,4.55,0.97,0,3.36,25.65,0,0.49,3.88,909.01,0,0.86,1.88,0,0,0,0,10.42,0,0,210.66,0,0,3.75,0,0.4
 60-70,0,0,0,0,0,0,544.03,0,9.34,0,73.45,8.49,0,0,0,4.18,8.96,0,0,0,40.96,0,2.08,2.35,1094.82,0,1.74,1.98,0,4.81,0,0,0.58,0.71,0,106.33,0,0,7.54,0,7.8
 72-82,0,2.61,0,5.27,0,0,824.87,0,0,3.99,155.8,2.98,0.55,2.73,0,15.49,0.54,0,0,0,55.34,0,1.81,3.79,1237.83,0,2.17,2.4,0,0,0,0,0.64,0,0,79.03,1.82,2.25,23.16,4.91,6.06
 84-94,0,2.48,0,7.04,0.58,0,507.92,0,2.91,0,80.31,1.46,0,0,0.58,21.1,17.61,1.26,0,1.39,41.81,0,9.78,7.66,743.11,0,2.39,6.32,0,7,0,0,2.78,0.6,0,51.91,3.18,3.41,13.89,3.81,11.71
 96-106,0,1.17,0,11.23,5.64,3.15,423.98,0.9,0.69,0,168.92,7.63,0,1.19,1.95,38.73,14.49,2.09,0.72,0,53.71,2.95,1.92,2.33,768.32,2.63,1.44,4.42,0,8.85,0,0,0,0,0,33.41,3.64,5.02,27.72,4.61,10.25
108-118,0,0.57,0,15.97,0.46,0,335.85,0,0,1.21,196.42,1.54,0,5.85,0,25.19,12.57,2.01,1.26,7.09,65.17,1.69,0,0.85,839.88,0,3.5,6.12,0,6.77,0,0,3.03,0.55,0,24.82,4.17,1.52,14.17,3.1,2.87
120,0,2.94,0,17.1,0,0,283.86,0,0,2.94,148.71,1.09,0,0,0,15.57,1.87,1.69,3.71,0,39.49,0,8.42,3.79,1022.85,1.08,15.67,1.76,0,3.55,0,0,1.13,0,0,21.5,0,4.19,16.13,17.27,0
