stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,spinal.cord,taste
  3-4,10.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.87,0,0,0
  5-6,25.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240.4,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,44.69,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.47,3.96,0,0,32.44,0,0,0
 14-21,0,1.09,3.69,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04,0,0,1.61,0,0,0,63.75,0.94,2.68,0
 24-34,0,0,4.87,0,0,0,0.62,0,0,0,0,0,7.09,0,0,0,0,0,0,6.29,0,14.24,0,36.7,0,0,0
 36-46,0,0,0.73,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,2.13,0,34.19,0,18.4,0,54.13,0,0,0
 48-58,0,0,0.99,0,0,0,1.77,0,0,0,0,0,12.34,0,0,0,0,3.43,0,21.23,0,36.2,0.97,36.12,0,1.19,0
 60-70,0,0,8.11,0,0,0,0,2.42,0,2.04,0,0,1.16,0,0,0,0.84,1.31,0,9.35,0,27.87,0,29.33,0,7.58,0.81
 72-82,0,0,9.82,0,0,0,0,0,0,1.3,0,0,0.5,1.81,0,0,0.53,5.08,0,10.74,0,61.28,1.01,26.02,0,0,1.89
 84-94,0,0,10.39,0,0,0,0.83,0,0,6.6,0.64,0,2.43,2.46,5.29,0.95,0.87,14.88,0,17.49,0,63.14,2.42,59.54,0,0,3.01
 96-106,0,0,26.27,3.6,0.8,0.57,1.2,0,9.91,3.65,0,0,0.63,3.99,0,2.32,2.31,17.08,0,0,0,65.78,2.76,35.39,0,0,7.48
108-118,0,0,30.95,0,0,0,1.41,0.73,1.53,12.24,0,2.69,4.44,6.57,0,0,2.47,11.69,0,10.11,0,66.15,1.64,37.28,0,1.5,4.44
120,0,0,40.15,0,0,3.5,0,0,0,3.03,0,0,5.64,4.65,0,0,0,13.45,1.83,8.47,0,41.42,1.28,50.53,0,0,4.81
