stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,ionocyte,lateral.line,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,24.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.25,0,0,0,0
  7-9,0,0,0,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.93,0,0,0,0,0,0,0,8.69,0,0,7.9,0,0,0,0,0
 14-21,0,0,0.99,0,0,0,0,0,0,0,0,9.59,3.47,0,0,0,1.74,0,0,0
 24-34,0,0,0,0,0,0,1.08,0,0,0,1.56,17.26,0,0,0,1.12,1.69,0,0.9,0
 36-46,0,0,0,2.01,0,0,1.22,0,0,0.84,0.71,32.1,0,0,0,1.05,1.97,0,0.6,0
 48-58,0,0,0,2.58,0,0,4.54,0,0,2.04,0,13.81,0.5,0,0,0,1.51,0,0.51,0
 60-70,0,0,0,2.7,1.03,0,13.12,0,0,0,0,18.76,0,0,0,1.79,0.75,0,0,0
 72-82,0,0,0,11.1,0,0,0.78,0,0.79,3.78,0,7.05,0,0,0,0.59,1.06,0,3.17,0
 84-94,0,1.4,0,0.77,0,1.43,0,0,0,1.26,0.66,7.8,0,0.79,0,0,0,0,0,1
 96-106,0,0,10.93,0,1.68,0,14.39,0,0,0,0,4.38,0,0,0,0.97,0,0,1.82,0
108-118,0,0,0,4.42,0.6,0,0.87,0.8,0,1.18,0.42,16.28,0,0.68,0,0,0,7.21,2.22,0
