stage,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,liver,melanocytes,mesenchyme,muscle,neural,olfactory,periderm,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0
 24-34,0.8,1.53,0,0,0,0,0,0,0,0,0,0.65,0,13.39,0,3.79,0,0.65,0,0,0,0
 36-46,9.89,1.15,0,0,0,0,0,0,0,0,0,0,0.56,3.51,0,1.62,0,0,0,0,0,0
 48-58,0.42,1.79,0,0,1.32,0.7,0.69,0,4.54,0,0,0,0,13.82,0,9.05,0,0,0.8,0,1.5,0
 60-70,1.67,2.34,0,0,0.92,0,0,0.57,0,0,0,0,0,11.31,1.19,2.89,0.65,0,1.13,0,0,0
 72-82,1.48,2.41,4.17,0,2.33,0,0,0,0,0,0,1.07,0.5,0.76,3.67,0,0,0,0,0.56,0,0
 84-94,0.7,0.95,0,0,0.57,0,0,0,0,0,0,0.55,0,5.12,0,3.12,0,0,0,0,0,0
 96-106,0,3.36,0,0,6.08,0,0,0,0,0,0,2,0,0.61,0,0.73,0,0,0,1.66,0,0
108-118,0,0.48,0,0.7,0,0,0,1.55,0,0.43,1.68,0,0,2.41,0,0.47,0,0,0,0,0,0
120,1.01,0,0,0,0,0,0,1.01,0,0,0,2.33,0,5.95,0,1.78,0,0,0,0,0,3.28
