stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,163.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.19,0,0,0,0,0,0,0,0
  5-6,0,210.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.29,4.44,3.26,0,0,19.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.74,5.33,0,0,50.37,0,0,0,0,0,0,0,0,0,0
 10-12,0,8.14,0,0,0,31.95,0,0,0,0,0,3.01,0,0,0,0,0,0,0,0,0,0,220.86,0,0,0,43.48,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.22,0,2.11,0,0,0,0,0,0,0,0,0,0,0,0,0.83,0,0,0,11.74,0,0,0,0,0,0,2.38,0,4.93,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.8,0,1.74,0,0,0.99,0,0,0,5.34,0,0,0,0,0
 36-46,0,0,0,0,0,0.83,0,1.14,0,3.05,1.39,0,0,0,0,1.36,0,0,2.51,0,0,1.41,70.68,0,1.45,0,0,0,8,0,0,14.76,0,0,0.58,0,0
 48-58,0,0,0,0,0,5.93,0,0,0,0,0,2.63,0,0,0,0.51,0,0,2.25,0,0,0,53.51,0,1.73,0,0,0,0,0,0,18.22,0,0,0,0,0
 60-70,0,0,0,0,0,16.34,0,0,0,5.87,0,0,0.87,0,0,0,1.96,0,9.15,0,0.98,0,119.5,0,1.08,0,0,0,0.67,0,0,35.9,0,0,0,1.92,0
 72-82,0,0,0,1.05,1.41,43.72,0,0,0.82,5.29,0,0,0,0,0.7,0,0,0,8.73,0.67,0,0.89,129.68,0,2.95,2.42,0,0,0,0,0,22.35,1.21,0,1.72,0.56,0
 84-94,0,0,0,1.92,0,60.86,0,0,0,7.82,0.6,0,0,0,0.79,0,0,0,14.42,0,0,0,95.43,0,0.64,7.45,0,0,3.22,0,0,13.13,0,0,0,0,5.84
 96-106,0,0,0,0,0.63,52.35,0,0,0,0.8,0,0,0,0.7,0,0,0.74,0,3.24,1.22,0,0,102.07,0,6.22,7.21,0,0,0,0,0.6,12.83,0,0,0,0,1.24
108-118,3.02,0,0,1.54,1.75,85,2.25,0,0,8.47,0,0,0,0.64,0,0,3.31,3.96,8.53,0,0,0,123.7,0,4.62,5.75,0,0,3.77,0,0.8,2.37,0,0.5,0,0,0
120,0,0,0,1.89,3.48,48.84,0,0,0,16.61,1.94,0,0,0,0,0,0,0,9.94,0,0,1.86,288.07,0,23.42,2.34,0,0,3.02,0,1.64,19.59,0,0,0,0,0
