stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,14.53,296.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.4,91.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.79,0,0,14.77,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.34,0,0,17.33,0,6.84,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,4.33,0,0.9,0,2.71,14.8,0,0,0,0,0,0.97,1.77,0.84,0,0,0
 24-34,0,0,0,0,0.95,0.63,0,0,0,0,0,1.15,0,0.9,0,0.75,19.42,0,0.67,0,0,0.65,1.06,0.79,2.98,0,0,0
 36-46,0,0,0,0.92,0,0,0,0,1.66,0,0,0.93,0.86,2.37,0,0,46.45,0,0,0,7.92,0,0,0,5.47,0,0,0
 48-58,0,0,0,0,0,7.02,0,1.82,0.95,0,0,5.15,0,10.52,0.55,0.91,34.18,0,0,0,0,0,0,0,7.42,0,0,1.07
 60-70,0,0,0,0.99,0,13.45,3.8,0,1.17,0,0,6.67,0,7.02,0,0,24.39,0,0,0,0,0,0,0,4.86,0.75,0,0
 72-82,0,0,0.79,0,0,3.98,0,0,4.71,0.7,0,2.04,0,8.11,0,0,41.75,0,0,0,0,0,0,0,0,0.97,0,2.54
 84-94,0,0,0,5.76,0,12.29,0.97,0.74,2.54,0,0,6.31,0,7.42,0,1.23,26,0,0,0,0,1.16,0,0,0,0,0,0
 96-106,0,0,0,2.76,0,7.05,0,0,3.16,0,0,2.08,0,0.65,0,0,19.91,0,0,0,0,0.59,0,0,0.6,0,1,0
108-118,0,0,0,0.66,0,21.06,0,0,1.83,0,3.36,4.5,0,9.72,3.95,1.43,45.79,0,4.13,0,3.72,0,0,0,0,0,0,0.79
120,0,0,0,1.07,0,8.22,3.43,0,4.11,0,1.92,10.83,0,2.28,5.9,0,24.18,1.48,4.36,0,0,0,0,0,3.36,0,0,0
