stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,115.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.52,160.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,4.09,0,0,0,7.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.91,5.2,0,0,21.8,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,1.02,0,0,0,0,0,31.85,0,0,0,0,0,2.96,2.38,0,0,4.52,0,0,0,0,0
 24-34,0,0,0,1.36,0,0,7.88,0,0,0,1.67,0.66,0,0,0,0,2.59,1.37,3.25,0,0,0,172.27,0,0.8,2.91,0,0,3.39,0,0.6,1.1,29.88,0,0,1.07,0,0
 36-46,0,0,0,0.58,0,0,4.2,1.83,0,0,17.96,0,0,0,0,0,0,2.15,0,0,0,0.89,429.41,0,1.36,0,0,7.92,6.1,0,4.75,0,47.6,0,0,9.77,0,0
 48-58,0,0,0,0.82,0,0,18.51,0,0,0.6,37.33,0,0,0,0,0,1.73,0,11.06,0,0,0,627.42,0,0,0,0,0,0.98,0,0,0,41.03,0,0,7.81,0,0
 60-70,0,0,0,0,0.59,0,73.55,0,4.88,0,93.18,0,0,0,0.93,0,0,0,27.18,0,5.13,1.49,1407.97,0,1.43,0,0,0,4.65,0,0,0,105.09,0,0,1.46,0,0
 72-82,0,0,0,3.22,1.34,0,117.06,0,0,6.63,99.67,0,0,0,0,0,2.04,0,18.11,0,0,0,1612.83,0,0,1.76,0,0,2.32,0,0,0,107.39,0,0,2.35,0,8.52
 84-94,0,0,0,10.05,1.98,0,174.53,0,0.68,1.51,65.28,2.36,9.2,0,3.26,0,4.58,0,15.14,0,0,0,1327.44,0,0,6.95,0,0,0.88,0,0,0,81.55,0,4.23,3.37,0,0
 96-106,0,0,0,6.88,10.87,0.6,170.22,1.41,0,1.02,53.98,0,0,0,0,1.31,9.82,0,25.8,0,2.05,1.6,1316.31,0,0,2.01,0,0,2.09,0,0,0,39.43,6.87,0,7.05,0,1.5
108-118,0,0,0,1.33,0.66,1.73,147.06,0,0,0,56.87,0.49,2.1,0.72,0,0,0.99,0,7.32,0,0,0.9,1172.83,0,1.44,0.41,0,1.65,0.76,0,0.43,0,33.91,0,0,11.09,0.9,2.39
120,0,0,0,19.46,0,1.71,280.08,0,3.6,0,55.58,16.78,6.97,0,2.09,0,0,0,10.87,1.49,12.5,0,1978.34,0,0,0,0,0,5.46,0,0,0,74.93,0,1.54,33.78,0,0
