stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,31.4,248.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.77,170.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.15,15.2,0,0,17.87,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.69,0,0,0,23.08,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.38,0,1.47,8.74,0.96,0,0,0,0,0,0,5.65,0,0,0,0,35.69,0,0,45.67,11.4,0,0,0,0,0,2.79,0.99,0,0,38.19,1.1,0,0,2.02,0,0
 24-34,0,0,0,0,49.06,2.98,16.9,0,2.07,20.82,0,0.61,0,30.28,0,0,0,0,1006.91,0,13.49,1265.3,130.73,105.57,1.04,2.82,0,0,0.61,6.24,1.87,0,133.59,45.93,0,0,0.84,0,0
 36-46,0,0,0,0,30.23,0,18.01,0,0.62,63.34,1.57,3.63,0,42.58,0,0,7.78,0,3900.39,0,48.33,1436.55,146.78,256.73,0,4.17,0,2.01,0,27.75,0,0,0.96,82.62,0,1.37,2.08,0,0
 48-58,0.77,0,0,0,17.87,0,69.24,0.42,0.38,62.7,13.52,0.93,0,10.4,1.61,2.64,2.04,0,5681.9,1.31,74.11,1430.18,397.1,617.53,0,19.94,0,14.46,0,0,0,0,1.38,72.39,0,3.51,4.66,0,9.36
 60-70,1.28,0,0,0,18.8,0.72,57.52,0,6.47,14.25,14.61,1.59,9.59,0.79,5.85,0,0.91,10.78,5891.05,2.97,135.38,839.83,195.43,344.87,0,13.83,0,9.09,15.64,0,0,0,0,35.39,0,29.68,0.89,50.05,13.78
 72-82,0,0,0,0,27.16,1.91,142.65,7.19,4.9,7.86,18.22,0.85,0,9.51,2.41,0,0,0,5961.29,0,180.94,765.83,175.16,138.99,5.37,8.04,0,26.85,0.62,0,0,0,0,2.49,0,45.5,7.82,107.49,0
 84-94,0,0,0,0,44.89,2.15,252.58,0.7,3.04,15.63,10.75,6.72,0.64,8.84,0,0,0,0,5760.92,2.86,274.08,669.35,81.78,221.5,1.75,33.08,0,8.24,8.87,0,0.62,0.63,0,7.25,0,89.38,1.65,90.15,4.52
 96-106,0,0,0.89,0,34.24,9.7,95.32,1.95,2.02,12.84,19.72,0,0,33.15,3.11,0,0,0,4341.06,0,118.14,393.54,153.06,72.88,0.71,20.67,0,7.72,0.65,0,0,0,0,3.2,0,32.91,12.69,146.08,0
108-118,0,0,0,1.46,22.11,0,74.67,0,1.99,9.57,6.67,0.88,0,15.41,0,0,1.72,0.73,4111.82,0,141.19,286.47,148.3,36.46,1.41,21.59,0,16.64,0.97,0,0.8,0,0,0,1.01,61.34,13.78,68.47,0
120,0,0,0,0,22.85,0,90.11,0,0,3.89,0,1.45,0,34.95,0,0,0,0,3654.09,0,133.35,210.14,124.58,16.2,0,13.74,0,87.24,1.26,0,0,0,0,0,0,13.72,16.16,96,0
