stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,0,112.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,125.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.41,0,0,0,0,0,0,0,0,0
  7-9,5.85,0,0,0,0,0,0,13.03,0,0,0,0,12.02,0,0,0,0,0,113.44,0,0,0,9.73,0,0,4.81,0,0,0,0,0,0
 10-12,0,0,0,16.22,0,0,0,21.31,0,0,0,0,0,0,0,0,0,0,107.8,3.17,0,0,38.66,0,0,0,10.74,0,0,0,0,0
 14-21,0,0,1.09,1.01,2.21,0,0,1.67,0,0,0,0,0,0,0,5,0,4.36,11.08,0,0,0,0,0,0,0,0,0,0.89,4.68,0,0
 24-34,0,0,1.6,0,1.3,0,0,0,0,0,0,2.09,0,0,0,5.61,4.89,0,10.22,0.83,0,0,0,0,0,0,0,3.61,0,2.62,0,0
 36-46,0,0,0.98,0,0,0,0,0,0,0,1.02,1.99,0,0,0,0.89,1.81,0.76,13.26,0,0,0,0,0,0,0,0,3.36,0,0.84,0,0
 48-58,0,0,0,0,2.6,0,0,1.41,0,0,0.95,1.3,0,0,0,4.15,3.86,1.41,5.18,0,0,0,0,0.45,0,0,0,0.68,0,1.29,0,0
 60-70,0,0,1.73,0,0,0,0,0.98,0,0,0,1.57,0,0,0,1.92,5.07,0,4.5,0,0,0,0,1.21,0,0,0,2.58,0,0,0,0
 72-82,0,0,7.19,0,0,0.84,1.34,2.99,0,0.5,0,11.54,0,0,0,7.08,0.73,0,4,0,1.33,0,0,0,0,0,0,0.63,0,0,0.77,0
 84-94,0,0,5.42,0,0,0,5.25,2.95,0,1.83,1.25,13.85,0,0,0.57,5.53,1.01,0,3.07,0,0,0,0,0,0,0,0,2.73,0,0,1.04,1.74
 96-106,0,0,16.89,0,0,2.88,3.72,3.9,0,1.81,0,12.48,0,0,0,4.9,0,0,18.11,0,0,0,0,0,2.37,0,0,1.89,0,0,0,0
108-118,0,0,4.74,0,1.08,0,44.44,4.16,2.46,0,3.27,17.27,0,0,0,13.62,2.85,2.87,6.38,0,0,0,0,0,0,0,0,1.32,0,0,0,0
120,0,0,0,0,0,0,6.67,0,0,0,0,13.97,0,3.99,0,7.37,0,0,18.84,0,0,2.09,0,0,0,0,0,4.17,0,0,0,0
