stage,blastomeres,epidermis,eye,fin_epithelia,glial,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,pericytes,periderm,somites,spinal_cord,vasculature,visceral_smooth_muscle
  5-6,15.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,6.46,0,1.25,0.63,0,0,0
 36-46,0,0,0.71,0,0,0,1.61,0,0,0,10.3,0,3.63,0,1.8,0,0
 48-58,0,0,0,0,0,0,1.28,0,0,0,10.59,0,0.38,0,3.28,0,0
 60-70,0,0,4.92,0.82,0,0,2,0,0,0,36.87,0,0,0,1.05,0,0
 72-82,0,0,6.28,0.78,0,0,0,0,0,0,4.54,0,2.73,0,3.42,0,0
 84-94,0,0,4.67,0,0,0,0,0,0,0,25.62,0,3.43,0,0,0,0
 96-106,0,1.98,1.77,0,0,0,2.26,0,0,1.95,5.32,0,5.47,0,0,0,0
108-118,0,0,1.08,0,1.98,2.21,0,0,0,0.65,9.19,7.71,2.18,0,0,0,3.76
120,0,0,13.52,0,0,0,24.1,1.15,13.04,1.27,11.07,0,3.25,0,0,7.32,0
