stage,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,glial,mesenchyme,muscle,neural,olfactory,otic,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,1.87,0,0,0,0,1.09,0,0
 24-34,0,0,0,0,0,0,0,0.64,8.71,0,0,3.16,2.74,0,0,0
 36-46,0,0,0,0,0,3.56,0.62,0,7.4,0.94,0,0,1.21,0,0,0
 48-58,0,0,0,4.82,0,1.39,0.53,0,10,0,0.54,0,0.55,0,0,0
 60-70,0,0,0,1.26,0,2.49,1.51,0,10.03,0,0,0,2.91,0,0,6.5
 72-82,0,2.6,0,0,0,0,0.67,0,9.32,0,0,0,3.39,0.72,0,0
 84-94,0,0.93,0,6.39,0,2.31,6.25,0,14.97,0,0,0,0,0,1.74,0
 96-106,0,0,1.23,1.66,0,7.74,0,0,20.07,0,0,0,0,0,0,1.4
108-118,1.23,2.82,0,5.63,0.45,0,2.17,0,3.75,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,36.94,0,0,0,0,0,0,0
