stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural.cell,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  5-6,11.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.44,0,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0,12.74,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.41,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.96,1.03,0,0,0,0,0,1.15,0,0,0,0.83,0,0,8.43,0,0,0,0,0.87,1.65,14.45,0,0,0
 24-34,0,0,0,0,1.96,0,0,0,0,0.68,0.62,0,0,0.82,0.63,0,44.16,0.7,20.84,1.42,4.25,0,0,0.83,0,0,0
 36-46,0,0,0,0,0,0,1.21,0,0,5.46,0,3.82,0,1.65,4.61,0,95.32,0,25.36,0,0,0,0,15.64,0,1.61,0
 48-58,0,0,0,0,8.39,2.4,1.35,0,0,0,0,0,6.43,0,2.53,0,88.27,0,9.86,0,0,0,0,5.7,0,0,0
 60-70,0,0,0,0,21.14,4.06,7.98,0,0,9.77,0,0,0,1.32,0,5.2,134.71,0,14.87,0,3.77,0,0,0.96,0,2.98,0
 72-82,0,0,1.21,0,16.72,0,1.59,0.65,0,19.58,0,0,0,8.25,1.38,0,184.57,0,38.98,0,0,0,0,1.5,0,1.22,8.32
 84-94,0,0,0.64,1.87,4.93,0,0,0,1.52,11.19,0,0,0,1.06,0,0,109.72,0,31.47,0,0,0,0,3.24,0,2.1,0
 96-106,0,0.87,3.78,0,19.08,9.05,0,0,0,34.72,0,0,0,2.21,1.38,4.05,107.42,0.81,39.57,0.58,1.58,0,0,0,0,0,0
108-118,0,1.43,2.1,0,19.95,0,0.54,0,0,37.99,0,0,0,3.23,0,0,183.86,0,25.02,0,0.43,0,0,2.39,0.66,1.96,0
120,0,2.52,9.48,2.1,4.26,6.61,1.81,8.01,0,56.39,1.4,0,0,0,0,0,305.2,2.98,4.56,1.02,0,0,0,0,0,1.26,0
