stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,26.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,7.94,0,0,0,0,0,4.67,0,0,0,0,0,0,0,0,0,17.94,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.05,0,4.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.76,0,0,0,4.71,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.11,0,2.39,61.53,0,4.39,0,0,0,0,0,0,0,0,0,4.33,0,6.21,0,0,4.55,102.31,0,0.95,0,0,0,0,0,2.16,0,1.04,33.62,0,0,0,0,0
 24-34,0,0,0,0,1.54,35.04,0,10.84,0,0,0,2.49,0,0,1.64,2.13,0,1.98,0,8.53,0,0,0.87,277.95,0.74,0,0,1,0,1.82,0,0,0,0.87,103.89,0,0,8.78,0,2.64
 36-46,0,0,0,0,0,6.47,0,19.56,1.38,0,0,0.58,0,0,0,0.89,0,1.59,0,3.84,0,0,0,413.57,5.37,1.3,9.28,0,0,0,0,0,0,0,100.2,0,0,0,0,6.1
 48-58,0,0,0,0,0.81,5.59,0,85.13,0,0,2.86,19.75,0,0,0,1.75,0,0,0,15.7,0,0.52,2.84,729.73,7.53,0,13.26,0,0,3.7,0,0,0,0,119.36,0,0,3.91,0,0
 60-70,2.52,0,0,0,0,4.27,0,240.33,5.04,0,0,7.26,0,0,1.45,12.21,0,0.68,0,10.86,0,0,1.76,1018.4,0.93,1.29,13.01,0,0,0,0,0,1.27,0,129.35,0,0,3.16,0,0
 72-82,0,0,0,0,0.54,76.81,0,365.93,0,0,7.79,14.4,17.18,0,0,5.82,0,6.83,0.57,20.48,0,3.83,3.06,1114.23,0,0,23.1,0,0.8,3.43,0,0,3.66,0,98.55,12.43,0,2.75,4.56,8.1
 84-94,0,0,3.08,0,7.58,53.78,4.35,339.29,1.97,0,2.39,18.29,35.35,0,0,17.15,0,7.53,0,20.16,1.82,2.55,1.93,867.65,0,2.97,27.93,0,0,0.63,0,0,9.83,0,99.45,9.88,0,4.91,1.42,0
 96-106,0,0,1.79,0,2.96,54.44,2.49,304.15,0.64,2.37,3.98,26.42,126.2,0,0,23.13,1.68,10.12,0,15.59,0,1.42,2.2,711.26,0,1.85,39.39,0,0,6.78,2.06,0,4.23,0,44.41,9.39,0,3.93,4.69,0
108-118,0,0,0,0.74,4.58,40.22,7.63,282.95,0,0,3.29,17.37,219.36,0,0,27.89,0,7.66,0,15.16,5.21,0,1.57,909.74,0.54,0.7,41.28,0,0,2.79,0,0,3.1,0,33.78,9.49,3.05,2.89,3.38,1.68
120,0,0,0,0,4.85,35.35,0,293.81,1.06,1.16,21.1,34.16,149.51,0,0,36.08,0,7.41,0,43.77,0,0,0,933.37,0,0,75.97,0,14.47,0,0,0,4.11,0,45.48,16.1,0,12.1,4.27,0
