stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,14.94,256.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.4,0,0,0,0,0,0,0,0,0,0
  5-6,44.26,313.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,17.22,0,0,12.94,0,0,0,8.88,0,0,0,0,4.31,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,37.94,0,3.37,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,18.61,0,0,0,0,24.61,0,0,0,0,0,0,0,0,0,0,0,159.9,23.98,0,0,71.13,0,0,0,6.91,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.95,13.7,4.52,0,2.12,0,0,2.91,2.05,4.98,0,0,0.97,0,0,0,0,8.8,0.95,0,6.03,99.86,10.16,0,0,0,0,5.18,13.01,1.22,2.71,13.1,29.61,0,0,9.61,0,0
 24-34,0,0,0,0,7.23,4.37,0,16.87,0,0.61,1.18,0.64,1.4,4.08,1.85,0,0,0,1.93,0,19.39,1.09,0,5.26,165.76,5.45,0.75,0.61,0,0,1.35,0,0.7,0,0.61,37.38,0,0,26.5,0,0
 36-46,0,0,0,0,1.16,0,0,32.56,0,0,9.87,0.57,0,0,5.99,0,0,1,0,4.54,21.13,0,0,2.42,183.99,7.38,1.01,0,0,0,2.11,0,0,0,0,48.06,0,0,8.97,0,4.28
 48-58,0,0,0,0,0,10.36,0,63.99,0,0.44,13.72,0.49,0.93,0,6.02,3.44,0.42,0.45,0.39,2.82,14.16,0,0,2.74,149.02,0.54,0,0.89,0,0,1.97,0,0,0,0,43.1,0,0,4.99,0,2.84
 60-70,0,0,0.82,0,13.75,9.22,0,116.11,7.94,0,2.2,0,0,0.75,0,0,0.72,0.84,0.68,3.5,32.66,0,0.82,0,179.45,0,0,1.03,0,0,10.19,0,0,0,0,27.8,0,0,1.15,0,0
 72-82,0,0,0.53,0,1.68,57.92,0,84.25,1.35,1.88,12.97,0.81,1.15,0,0,0.54,5.44,3.36,0,0,37.1,2.01,0,2.53,118.8,0,0.58,0,0,0,9.22,0,0.57,0,0,7.92,0.95,0,4.07,1.37,3.02
 84-94,0.62,0,0,0,12.53,50.42,0,101.44,1.15,0,18.82,3.23,1.22,0,5.09,1.32,2.43,0,0,0,44.24,2.2,1.61,2.75,105.26,0.72,2.26,3.27,0,0,19.32,0,0,0,0,16.2,0,0.88,27.76,0,2.58
 96-106,0,0,0,0,4.95,106.51,0.71,40.99,0,2.11,23.95,1.28,0,0,5.16,1.57,0.81,0,0.6,0.69,31.09,0,0,2.45,102.85,0.62,4.93,2.44,0,0,13.37,0,1.03,0,0,0,0,1.48,10.96,0.89,9.32
108-118,0,0,1.22,0,10.68,61.08,0,77.59,3.67,1.24,32.59,3.08,0,0,2.26,1.23,1.04,0,0,0,30.82,2.29,2.89,4.2,70.87,0.42,1.35,0.52,0,7.36,12.8,0,0,0,0,0,0,0,13.55,0,9.25
120,0,0,2.96,0,15.92,108.3,1.27,38.91,7.85,3.06,11.97,1.28,0,0,14.84,0,23.48,5.58,0,0,96.61,2.78,10.71,5.49,96.71,4.25,0,3.89,0,0,17.44,0,1.97,0,0,0,0,0,42.79,0,0
