stage,blastomeres,epidermis,eye,glial,heart,immune,liver,mesenchyme,muscle,neural,paraxial.mesoderm,pronephros,spinal.cord,vasculature,xanthophores
  5-6,7.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,3.23,8.15,0,0,0,0
 24-34,0,0,1.54,0,0,0,0,0.65,0,3.73,0,1.79,3.2,0,0
 36-46,0,0,1.52,0.63,0,0,0,0,0,2.59,0,0,0.86,0,0
 48-58,0,0,0.93,1.09,0,2.27,0,0,0,3.99,0,0,0.75,1.79,0
 60-70,0,0,1.46,0,0.95,0,0,0.59,0,2.13,0,0,0,0,1.82
 72-82,0,0,0.54,0,0,0,0,0,0,5.38,0,0,3.39,0,0
 84-94,0,0,0.8,0,0,0,0,0,0,5.93,0,0,0,0,0
 96-106,0,0,1.78,2.6,0,0,0,0.79,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0.49,0,0.51,1.73,0,0,0,0,0
120,0,4.55,0,0,0,0,1.02,0,0,7.64,0,0,0,6.48,0
