stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,79.49,1742.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.61,837.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.26,19.03,0,43.42,0,0,0,81.74,0,0,0,0,29.96,0,0,0,0,0,0,0,0,0,0,0,607.32,15.08,0,0,269.81,0,0,0,0,0,0,0,0,0,0
 10-12,0,37.17,0,30.5,0,0,0,58.15,0,0,0,0,10.32,0,0,0,0,0,0,0,0,0,0,0,747.64,19.22,0,0,408.14,0,0,4.19,57.01,0,4.75,0,0,0,0
 14-21,0,0,0,0.98,14.02,2.65,0,4.81,0,0,5.73,0,0,0,0,0,0,0,0,0,8.06,0,0,12.76,104.87,2.55,2.5,0.83,1.03,0,0,27.25,2.04,1.44,25.06,28.38,0,0,0
 24-34,0,0,0,0.59,3.06,0,0,19.7,0,1.94,1.62,1.01,0,0,0.71,1.38,0,0,0,0.62,8.08,0,0,5.17,137.75,0,2.97,1.49,0,0,5.04,0.76,0.78,2.83,6.21,35.05,0,4.53,0
 36-46,0,0,0,0,1.88,0,0,34.33,0,0,6.92,0,0,0,0,0.56,0,0,1.69,2.49,14.3,0.63,0,4.09,123.05,0,1.23,0.63,0,0,4.67,0,0.63,0.68,0,20.85,0,3.37,6.32
 48-58,0,0,0,0,0.41,0,0,53.79,0,2.25,12.8,0.64,0.49,0,1.28,0,0.39,0,0,0,16.57,0,0,3.85,124.97,0,2.74,0.74,0,0,1.2,0,0,0,0,26.82,0,1.15,0
 60-70,0,0,0,0,2.89,0,0,84.28,0.66,1.23,6.82,0,0,0,0,6.67,0,0,0,0,20.7,0,0,0,122.39,1.31,1.08,1.64,0,0,0,0,0,0,0,23.02,0,1.09,8.44
 72-82,0,0,0.62,0,1.72,0,0,65.4,0,0,5.51,0.53,0,0.66,0.53,0,0,0,0,0,15.33,0,0,1.4,110.23,0,1.42,1.64,0,0,3.74,0,0,2.66,0,13.9,0,1.21,0
 84-94,0,0,0,0,4.53,0,0,41.41,0,2.12,6.88,6.36,0,0,0,0,0,0,0,0,24.07,0.58,3.31,1.23,72.8,0,1.83,1.05,0,1.31,2.29,0,1.79,0.73,0,1.46,1.65,0.59,0
 96-106,0,0,0,0,5.03,0,0.77,34.69,0,0,11.57,2.13,0,0,7.2,0.84,0,0,0,0,18.4,0,0,2.56,50.31,0,3.49,0,0,0,0.68,0,0,0,0,0,0.96,3.15,0
108-118,0,0,0,0,5.93,0,1.43,30.42,0.74,0,13.22,2.97,0,1.1,1.03,0,0,0,8.82,0,9.47,0,0,7.15,63.2,0,1,0,0,2.8,6.6,0,0,0,0,6.37,0,6.01,0
120,0,0,0,0,4.69,0,0,22.12,2.66,0,5.45,0,0,0,1.5,0,0,2.12,0,0,13.25,0,0,4.48,60.14,0,0,2.28,0,0,1.23,0,0,0,0,0,0,2.15,0
