stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,16.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.27,0,0,0,5.29,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265.11,9.39,0,0,11.53,0,0,0,5.64,0,0,0,0,0,0,0,0
 14-21,0.89,0,0,291.15,13.96,0,4.42,0,0,0,0,0,2.22,0,0,0,0,0,330.1,0,0,122.23,1423.29,11.82,7.4,92.08,1.02,0,0,4.28,0.82,0,2.09,17.12,0,0,5.11,0,0
 24-34,0,0,0.67,145.61,6.4,0,21.77,0,0,0,0.67,0,0,0,0.64,0,0,0,320.38,3.5,4.11,40.21,1343.69,1.71,10.15,127.26,0,0,0,0,0,8.94,1.31,78.19,0,0,5.64,0,0
 36-46,0,0,0,37.78,2.11,0,778.45,0,0,0,10.41,0,4.87,0,0,0,0,0,259.2,0.56,74.79,49.88,949.38,0,11.16,91.5,0,0.97,5.73,0,0,0,0,637.16,0,0,1.69,0,1.54
 48-58,0,0.92,0,32.25,0.65,0,3866.94,1.53,0,10.9,85.25,0,0.5,6.06,0,0,0,5.51,190.04,1.85,40.64,37.06,1030.38,1.63,10.28,72.02,0,0,2.91,0,0,0.43,0,1568.32,0,1.99,1.31,1.9,7.65
 60-70,0,0,0,20.22,0.57,0,5359.83,8.94,0,1.99,69.08,0.65,0,0,0,0,1.62,2.6,253.68,1.53,62.82,24.04,661.35,0,6.02,58.51,0,2.51,0.86,0,0,0,0,1461.45,0,23.49,1.76,20.07,6.25
 72-82,0,0,0,47.98,2.79,0,3939.68,10.2,0,10,51.66,0,0,2.58,0,0.66,2.16,1.07,187.99,0,45.78,28.07,713.52,1.43,7.09,107.34,0,7.32,1.99,0,0,0,0,1570.47,0.92,49.28,3.52,71.99,21.42
 84-94,0,0,0,33.87,3.49,0,3032.15,5.07,1.35,6.75,65.13,0,0,2.65,0,0,0,0,218.7,2.35,35.31,35.24,724.95,0,8.75,120.05,0,2.09,6.55,0,0,0,0,758.78,0,29.49,0.66,54.3,0
 96-106,0,0,0,46.59,14.41,0,1611.33,10.02,0,9.68,65.34,0,0,1.53,0,0.8,1.55,4.29,180.87,0,30.96,62.69,643.51,1.72,12.76,184.24,0,3.2,2.36,0,0,0,0,545.54,0.58,27.88,0.82,59.76,0
108-118,0,1.15,0,97.02,0.93,1.69,2921.48,11.22,1.09,4.04,75.67,0.45,1.47,1.31,0.52,0,0,0,138.41,0.43,48.11,20.15,925.58,1.49,15.5,160.25,0,11.1,7.36,0,0,0,0,392.27,0,48.47,0.65,63.39,0
120,1.12,0,0,47.65,16.67,5.27,2483.63,2.14,20.56,0,107.77,3.02,0,1.26,0,0,0,2.7,113.92,0,31.69,17.66,685.95,3.31,5.02,124.1,0,0,1.39,0,0,0,0,401.35,0,45.4,6.45,73.25,0
