stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,mesenchyme,mucous,muscle,neural,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord
  3-4,15.32,156.25,0,0,0,0,0,0,0,0,0,0,19.43,0,0,0,0
  5-6,18.74,187.65,0,0,0,0,0,0,0,0,10.7,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,22.55,7.5,0,0,0,0,0
 10-12,0,0,0,0,5.18,3.65,0,0,0,0,27.41,8.99,0,0,0,0,0
 14-21,0,0,1.01,0,0,0,0,0,0,0,1.95,0,0,0.85,0,0.83,3
 24-34,0,0,0,0.65,0,0,0,0,0,0.77,4.27,0,0,0,0,0,2.44
 36-46,0,0,0,0,0,2.61,0,0,0,0,8.54,0,0,0,0,0,0
 48-58,0,0,0,2.98,0,0,0.89,0.41,0,0,3.43,0,0,0,0,0,4.69
 60-70,0,0,0,0,0,12.61,0,0,0,0,2.94,0,0,0,1.44,0,1.64
 72-82,0,0,0,0,0,0,2.08,1.81,0,0,3.36,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0.89,0,0,4.49,0,0,0,0,0,0
 96-106,0,0,0,0,0,6.16,0,3.75,2.18,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,2.13,0,0,0,0,0,0
