stage,epidermis,eye,mesenchyme,neural,periderm
 36-46,0.66,0,0,0,0
 60-70,0,0,0,0.92,0
 72-82,0,0,0,0.85,0.73
 84-94,0,0.92,0,1.03,0
 96-106,0,3.2,1.1,0.61,0
