stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0.93,0,29,463.22,133.16,0,179.36,0,0,0,28.95,12.23,3.09,8.33,11.02,16.56,0,0,1.02,0,201.99,0,0,246.69,2316.84,101.04,81.58,22.37,30.58,0,153.39,0,376.63,45.76,0,329.76,572.54,0,0,41.91,0,1.71
 24-34,0,0,4.54,191.18,115.06,0,716.09,0,3.26,4.85,66.19,12.69,5.46,17.07,21.76,1.03,16.34,13.19,16.46,2.19,551.92,3.48,0.89,282.86,4379.98,84.78,112.43,48.31,0,0,326.01,0,2.4,23.69,1.16,37.12,1014.63,0,0,131.9,0,24.33
 36-46,0,0,0,112.85,64.47,0,1770.28,0,1.96,0.61,70.73,0.95,0,23.61,19.39,1.63,26.56,1.18,15.76,0,494.39,1.82,12.62,170.05,2858.89,21.05,72.1,26.96,0,0,183.49,0,2.77,9.25,0,1.39,570.59,0,0,43.53,0,34.57
 48-58,0,0,1.75,109.81,96.02,0,2499.31,0,2.45,5.05,98.09,5.02,0,26.74,20.17,3.14,22.07,4.27,3.79,0,614.53,6.56,26.32,139.97,1697.72,24.73,26.17,38.01,0,0,51.08,0,0,2.37,0.4,0,195.34,0,0,53.09,0,14.3
 60-70,0,0,0,158.67,12.16,0,1775.36,0.97,5.77,0,103.39,6.2,0,5.84,19.75,0,19.35,8.96,2.08,0,599.36,2.23,24.08,84.36,949.33,19.68,8.97,11.91,0,0.71,50.69,0,0,7.53,0,0,44.47,0.59,1.53,36.72,0,14.75
 72-82,0,0.56,0,98.33,13.2,0,626.49,0.5,0,0,153.21,14.45,0,11.71,25.27,2.88,18.74,2.36,11.87,0.65,637.02,1.07,35.03,55.81,627.69,3.74,23.98,17.58,0,3.01,15.68,0,0,2.07,0,0,18.64,3.84,0,48.19,0.71,10.32
 84-94,0,0,2.08,115.29,34.92,3.37,585.46,5.76,0,2.01,108.19,24.45,0,10.01,33.75,5.17,18.91,4.61,11.87,2.24,535,0,50.93,70.97,667.18,22.9,17.96,34.07,0,0,27.88,0,0,12.57,0,0,16.57,12.81,4.07,84.8,5.72,0
 96-106,0,1.06,1.53,129.97,24.12,1.78,500.23,0,1.9,1.54,153.84,39.1,0,31.34,78.6,3.86,5.87,4.9,21.9,0,308.35,6.25,14.98,57.17,594.53,26.36,21.09,43.67,0,4.55,31.65,0,0,17.75,0,0,23.96,8.01,1.93,74.84,7.81,5.74
108-118,0,0,1.71,89.58,67.27,1.92,644.2,2.62,3.07,2.77,201.45,19.37,0,10.15,57.8,5.14,14.49,2.23,17.83,1.22,320.72,1.08,36.11,60.48,948.82,19.54,22.96,55.07,0,0,26.15,1.27,0,17.29,0,0,9.54,15.02,2.14,76.75,0,3.32
120,0,2.52,0,52.29,59.7,1.31,608.7,0,4.05,0,181.98,5.68,0,8.22,47.23,2.76,26.38,5.36,5.45,0,350.09,0,13.81,44.97,1005.29,10.67,14.94,50.09,0,19.53,28.21,0,0,1.94,0,0,37.35,4.42,0,63.54,4.22,0
