stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,9.36,68.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.31,0,3.91,0,0,0,19.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.53,8.85,0,0,14.8,7.84,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.32,0,0,0,10.23,0,8.5,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,16.3,0,0,7.36,0,0,0,0,0,0,0,0,0,0,0,0,0,8.13,0,0,1.03,51.82,0,0,4.95,0.89,1.01,0,4.12,0,1.88,18.6,13.77,0,0,1.05,0,0
 24-34,0,0,0,0,6.62,0,0,12.83,0.75,5.47,0,0,0,0,0,0,2.17,0,0,0,0,8.33,0.62,0,7.95,136.43,0,16.3,0,0,23.22,0,0,1.06,1.27,8.09,33.44,0,0,7.4,0,0
 36-46,0,0,0,0,21.07,0,0,9.08,2.94,0,1.71,4.17,0,0.76,0,5.85,4.23,2.43,0,0,0,6.67,0,0.89,10.11,249.4,0,21.52,0.58,0,47.47,0,0,5.81,5.04,0,43.12,0,0,2.89,0,8.51
 48-58,0,0,0,0,22.79,0,0,74.55,3.05,7.73,2.05,11.48,0,0.5,0,1.21,8.58,1.69,0.64,0,3.32,24.28,5.95,0,0.38,443.37,0,16.6,6.23,0,30,0,0,0.99,0.44,0,78.11,0,0.42,8.69,0,4.32
 60-70,0,0,0,0,12.13,10.93,0,400.68,0.63,13.04,12.5,23.37,0.89,0,0.95,0,0,0,0.84,0,1.94,47.76,0,3.69,12.14,534.95,0.66,11.9,8.74,0,61.16,0,0,4.97,0,0,53.2,0,0.9,1.95,0.71,6.14
 72-82,0,0,4.05,0,11.67,59.03,0,536.85,1.21,2.26,15.07,86.34,2.96,0,0.86,3.45,1.54,0.93,0.92,5.4,0,122.56,8.7,2.06,4.01,564.41,1.62,12.76,5.92,0,43.48,0,0,0,4.35,0,55.24,0,1.57,19.44,1.84,0
 84-94,0,0,1.05,0,12.71,34.74,1.09,439.4,1.48,5.46,8.94,44.38,8.5,0,0.7,8.18,4.58,0,0,0,5.92,50.53,7.06,2.23,4.74,357.22,0,32.37,5.43,0,86.01,0,0,0.75,10.52,0,37.43,0.66,0.71,9.1,9.05,3.77
 96-106,0,0,4.77,0,18.03,49.55,0,377.33,0.93,0,1.14,33,7.16,0,1.67,14.11,5.5,2.63,2.5,7,0,71.16,10.07,2.11,5.29,377.43,1.39,21.68,23.72,0,78.93,0,0,4.07,1.66,0,20.65,1.22,0.87,16.32,3.68,7.88
108-118,0,0,0.85,0,22.03,53.36,0,352.89,1.74,9.41,2.91,60.27,4.61,2.74,1.56,3.45,9.94,5.22,2.23,0.58,0,92.54,0,6.61,16.49,370.93,0,19.52,6.16,0,51.63,0,0,1.63,0.93,0,34.18,1.2,1.91,9.59,2.5,0.96
120,0,0,0,0,39.63,60.04,0,391.32,0,10.34,1.44,33.1,20.82,0,0,22.66,12.5,7.04,2.19,9.47,0,117.68,0,15.93,2.71,637.68,5.54,14.55,5.64,10.96,34.84,0,0,1.87,0,0,21.59,1.09,17.76,17.63,5.63,0
