stage,blastomeres,epidermis,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,32.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,41.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,0,0,0,0,0,0,0
  7-9,6.22,0,0,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2,0,0,0,3.6,0,0,0,0,0,0,0,0,0
 10-12,7.02,0,0,6.77,0,0,0,0,3.86,0,0,0,0,0,0,0,0,0,7.57,15.57,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,3.76,0,1.69,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,20.91,0,0,0.89,0,0,0,5.14,1.28,0,3.86,0,0,0
 24-34,0,0,0,1.44,0,0.74,0,0,0,0,0,0,0,0,3.83,0,0,1.62,26.29,1.78,1.22,0.79,0,0,0.7,0,0,1.74,6.25,0.76,0,0
 36-46,0,0,0,7.56,0,0,1.36,0,0,0,0,0,0,0,2.07,0,0,1.22,48.62,0,0.59,0,0,0,3.62,0,0,0,14.46,0,0,0
 48-58,0,0,0,14.38,0,0,3.37,0,0,0.42,0,0,0,0.4,3.57,0.71,1.67,0.45,36.81,0,0,0,0,0,0,0,0,0,1.78,0,0,0
 60-70,0,0,0,14.99,0.95,0,5.27,0,0,0,0,0,0,0,8.99,0,0,0,58.67,7.16,0.88,0,0,0,0,0,0,0,9.49,0,0,9.63
 72-82,0,0.51,0,24.42,0,0,1.12,0.99,0,0,0,0,0,0,10.19,1.47,0,0,31.39,0,1.21,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,1.09,0,7.5,0,1.65,2.22,0,0,2.18,0,0,0,0,3.4,0,0,0,31.5,0,0,0.71,0,0,0,0,0.67,0,0.66,1.24,1.53,0
 96-106,0,0.67,0,3.97,0,0,7.8,1.92,0,0.72,0,0.75,0.59,0,3.88,0,0,0,8.94,0,1.81,0,0,0,0.9,0,0,0,0,0,0,0
108-118,0,5.82,0.88,10.9,0,0,8.15,0,0,0,0.47,0,0,0,0,0,0,0.46,18.63,0,1.93,0,0,1.82,2.16,0,0,0,0,0,0,0
120,0,0,0,7.13,0,0,0,3,0,1.43,0,0,0,0,6.31,0,6.81,1.57,28.69,0,2.49,0,0,0,0,0,0,0,0,0,0,0
