stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,42.84,137.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.75,277.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,4.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.68,0,0,0,15.13,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5.12,13.58,0,1.39,1.45,0.85,3.58,0,0,0,0,0,0,0,0,0,0,33.36,0,0,0,0,0,0,0,0.82,0,0,4.06,9.24,0,0,4.63,0,0
 24-34,0,0,2.39,6.82,0,1.96,10.13,0,0,1.48,0,2.84,0,0,0,0,1.74,0.66,0,0.64,203.74,0,0,0,0,0,1.65,0,0,0,0,0.6,64.56,0,0,88.42,0,0
 36-46,0,0,0,1.03,0,0.67,0,6.16,0,0,0,0,0,0,0,0.61,1.57,0,0,0.59,386.31,1.31,0,0,0,0,0.87,0,0,0,0,0,63.48,0,0,60.54,0,0
 48-58,0,0,2.33,5.13,2.21,42.33,0,4.84,0,4.88,0,0,0,0,0,10.38,6.99,0,0,0,528.03,0,0,0.51,0,0,5,0,0,0,0,0,58.47,0,0,46.05,0,0
 60-70,0,0,0.89,17.32,0,87.31,0.75,9.53,0,2.35,0,0,0,0,0,9.31,2.78,0,0.85,0,650.35,0,0,0,0,0,0.57,0,0,0,1.63,0,12.22,0.61,0,39.64,0,13.99
 72-82,0,0,8.23,34.44,0,123.13,3.72,57.24,1.86,4.3,0,0,2.56,0,0,15.29,34.8,0,5.07,0,1102.83,0,1.12,0,0,2.81,0,1.65,0,0,0,0,33.35,8.06,0.99,81.44,1.62,19.91
 84-94,0,0,3.68,29.81,1.21,119.11,2.29,24.36,1.36,0,1.52,5.64,0.55,0,0.83,18.24,7.4,0,0,0,848.52,0,0,0,0,0,9.64,0,0,0,0,0,5.17,2,0,49.6,11.93,9.5
 96-106,0,0,7.35,21.72,9.37,111.37,0,26.69,9.55,3.83,0,0,0,0.96,24.78,3.99,11.14,3.12,6.67,0,692.56,0,0,0,0,0,7.55,5.44,0,0,0,0,49.09,3.68,0,63.81,1.33,9.83
108-118,0,0,3.98,29.05,0,122.13,0.43,96.67,3.43,3.58,0.78,3.36,4.09,0,4.79,27.46,10.57,0,0,0,954.32,0,0,0,0,0.96,4.91,0,0,2.63,0,0,3.62,2.07,1.74,77.42,0.72,20.7
120,0,0,0,24.32,0,100.47,0,38.99,0,4.83,0,0,0,0,0,28.42,23.96,0,0,0,1211.69,0,0,0,19.84,0,2.91,0,0,0,0,0,42.79,1.37,0,71.38,0,27.24
