stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,21.12,493.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.01,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.02,433.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.03,0,0,13.13,23.36,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.64,0,0,13.17,0,0,0,0,0,10.75,0,0,0,0,0,0,0,0,0,0,0,161.19,10.31,0,0,29.32,0,7.87,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,7.07,0,0,10.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206.41,3.16,0,0,43.91,0,0,0,0,0,0,10.64,0,0,0,0,0
 14-21,0,0,3.1,0,0.84,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,384.12,0,26.18,0,0.94,0.92,0,2.88,0,0,0,235.01,0,0,0,0,0
 24-34,0,0,4.06,0,6.91,1.61,47.23,0,0,0,4.14,0,0,0,0,0,0,1.07,1.1,0,8.2,0,0,1.66,3216.23,0,121.49,0.62,0,6.33,0,0,0,0,1.42,621.35,0,0,2.46,0,0
 36-46,0,0,0.73,0,25.52,1,388.77,0,0,0.64,55.23,0,0,0.65,0.64,0,0,0,0,1.29,31.44,0,0,1.52,6872.63,0,134.06,1.4,0,10.3,1.61,0,0.58,0.64,0,1141.7,0,0,3.47,0,0
 48-58,0,0,0.44,0,24.26,0,1665.23,0.51,6.1,0.87,182.81,0.45,0,0.59,0.96,0,7.17,1.59,4.39,0,48.16,0,0.51,19.55,9545.05,1.58,64.46,5.12,0,9.02,0,0,0.73,0,0,1340.38,0,0,1.05,0,3.14
 60-70,0,0,0,0,13.45,0,2849.76,3.7,8.58,0,95.04,0,0,0,0.6,0,12.03,0,1.33,0,44.32,1.09,6.11,8.77,9167.54,0,64.18,0,0,5.27,0,0,0,0,0,982.37,0,2.55,11.92,0.73,13.64
 72-82,0,0,3.88,0,23.88,9.69,2378.57,0,0,1.28,98.27,2.8,0,1.77,4.6,0,10.17,2.69,2.73,0.85,60.05,0,4.87,1.4,5552.22,0,58.14,2.17,0,9.19,0,0,0.76,0,0,582.01,0,0,7.29,4.48,22.43
 84-94,0,0,9.31,0,19.17,5,1322.44,0,0.66,2.61,83.28,4.82,0,3.57,0.6,0,1.3,0,0,0,28.66,0,4.46,13.35,3163.69,0,56.51,2.77,0,15.61,0,0,0,0,0,264.08,2.6,0.88,2.75,4.53,0
 96-106,0,0,1.19,0,12.52,11.33,1054.44,0.86,0,0.59,73.29,5.37,0,2.34,0,0,0,0,11.13,0,40.05,0.6,0,0.92,2225.56,0,79.12,3.44,0,15.52,1.35,0,0,0,0,94.3,0,0,0,0,1.22
108-118,0,0,1.63,0,30.18,4.99,1022.54,0.44,0.44,0.64,51.94,2.35,0,0,0.89,0,5.4,0,1.46,0,43.3,0,1.24,1.84,3375.42,0,65.28,3.42,0,3.28,0,0,0,0,0,108.52,0.67,3.64,2.76,0,6.1
120,0,0,0,0,34.15,5.5,1066.89,12.08,18.14,1.49,142.56,3.14,0,0,8.51,2.26,0,1.69,0,0,41.05,0,3.62,6.91,6297.53,0,88.12,2.43,0,12.95,0,0,0,1.63,0,87.86,0,0,10.81,0,0
