stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,14.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.96,0,0,0,0,0,0,0,0
  7-9,7.86,0,0,0,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.48,0,0,0,9.68,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,3.21,0,0,0,0,1.08,0,0,0,0,0,0,2.5,0,0,4.19,20.14,1.88,0,0.85,0,0,15.24,1.84,0,2.93,0,0,0,0,0
 24-34,0,0,0,1.46,0,0,2.76,0,0,0,0,0,0,0,7.94,0,0.61,0,15.01,0,0,11.8,27.73,0.95,1.29,1.58,0,0,28.92,0,0,3.71,0,0,0,0,0
 36-46,0,0,0,5.43,0,0,1.89,1.8,2.95,1.23,0,0,0.56,1.52,3.9,0,0,0,21.37,0,0.88,7.28,56.66,0,2.12,3.22,0,0,87.82,0,1.67,4.2,0,0.62,0,0.78,0
 48-58,0,0,0,6.62,0,0,4.08,6.18,4.95,0.54,6.9,0,2.63,0,15.56,6.87,2.28,0,29.95,1.18,1.18,15.29,63.76,0,0,0.84,0,0,43.88,0,0,5.79,0,0,3.82,0,0
 60-70,0,0,0,1.44,0,0,9.76,0.95,1.4,0,32.77,0,0,2.01,7,6.02,0,16.66,36.43,4.05,1.78,15.26,111.73,0,1.03,1.42,0,0,27.7,0,2.36,11.66,0,0,0.74,0,6.14
 72-82,0,0,0,6.77,0.77,0,44.98,0.55,0,0,25.87,0,0,7.86,9.27,2.74,0,0,93.61,0.93,6.43,2.78,95.19,0,1.76,2.5,0,1.61,26.64,0,0,10.56,0.8,4.89,5.7,5.13,0
 84-94,0,0,1,5.89,0,0,23.39,10.38,0,0,25.79,3.6,1.44,7.03,7.36,3.95,0,1.76,72.01,2.96,18.81,2.41,60.37,0,1.65,7.24,0,0,56.09,0,0,3.58,0,1.74,0,5.22,5.35
 96-106,0,0,0,10.27,3.26,0.97,44.79,0,2.36,0,34.55,6.45,0,2.46,15.34,6.81,0,0.56,53.41,0,10.5,6.27,75.24,1.43,0.56,3.02,0,1.3,54.82,0,1.24,0,0,3.31,0,5.83,0
108-118,0,1.03,0.74,16.97,0,0,87.63,10.14,1.13,0.45,28.44,9.56,2.03,12.61,15.93,8.24,0,1.63,50.45,0,17.01,3.64,172.86,0,2.13,4.25,0,2.06,53.26,0,4.71,3.51,2.47,2.79,0,2.08,6.32
120,0,0,0,11.86,1.95,0,122.63,8.94,0,0,31.23,12.4,0,6.11,21.16,5.96,0,0,27.18,0,26.23,4.75,284.79,0,10.66,29.59,0,4.48,17.2,0,1.52,1.19,0,0,0,20.39,0
