stage,axial,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,14.11,451.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.48,0,0,0,0,0,0,0,0
  5-6,17.73,476.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.45,0,0,0,19.54,0,0,0,0,0,0,0,0,0
  7-9,8.79,21.34,37.25,0,22.52,0,0,6.42,0,0,0,0,0,0,0,0,0,181.16,15.46,0,0,44.99,0,8.66,0,0,0,0,0,0,0
 10-12,0,18.11,25.48,0,11.04,0,0,6.81,0,0,0,0,0,0,0,0,0,182.34,9.58,0,0,77.84,0,0,0,20.56,0,0,0,0,0
 14-21,0,0,0,2.89,0,0,1.35,0,0,0,0,0,0,0,0.86,0,0.82,17.36,0,0,0,1.19,0,0,6.19,1.01,1.94,5.25,0,0,0
 24-34,0,0,0,1.87,3.24,0,1.39,0,1.75,0,0.83,0,0,1.29,0,0,0,44.67,0,0,0.62,0,2.44,0,0,0,0,7.39,0,0.62,0
 36-46,0,0,0,0,8.5,0,1.5,0,0,0,0,0,0,0,2.38,0,2.18,64.06,0,0,5.66,0,0,0,0,0,0,7.42,0,4.93,0
 48-58,0,0,0,0,9.4,0,4.75,0,0,0,0,0,0,0,7.64,0,0,33.99,0,0.48,0,0,0,0,0,0,0,4.29,0,0,1.82
 60-70,0,0,0,2.05,13.22,2.5,4.82,0,0,0,0,0,0,0,5.01,0,0.68,40.84,0,0,0.86,0,0,0,0,0,0,3.45,0,1.64,0
 72-82,0,0,0,0,15.66,0,1.27,0,0,0,0,0,0.56,0,6.22,0,0,27.17,0,0,0.9,0,1.75,0,0,0,0,3.59,0.72,0,0
 84-94,0,0,0,1.7,18.47,0,2.54,0,0,0,1.12,0,0,0,9.66,0.76,0,9.07,0.69,0,0,0,5.45,0,0,0,0,5.16,0,0.83,0
 96-106,0,0,0,0,6.59,2.05,2.37,0,0,0,0,0,0,0,0,0,0,25.95,0,0.67,0.65,0,0.83,0,0,0,0,0,0,0,0
108-118,0,0,0,1.45,9.59,0,3.28,0,0,1.63,0,0.47,0,0.51,4.07,0,1.85,40.79,0,0,0,0,0,0,0,0,0,1.83,0,0,0
120,0,0,0,0,11.38,0,4.56,0,0,0,0,0,0,0,3.15,0,0,8.55,0,0,0,0,0,0,0,0,0,0,0,0,0
