stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,16.57,13.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.73,14.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.88,4.1,0,0,2.31,0,0,0,0,0,1649.56,0,0,0,0,0,360.04,0,55.51,53.76,0,0,111.56,0,0,73.41,0,0,3.26,9.95,0,1.6,0,0
 24-34,0,0,0,0,6.63,17.42,0,1.73,0,0,0,0.59,0,1374.92,2.69,0,23.23,0,0,121.84,4.87,195.21,37.16,0,0,0,0,4.13,0,0.93,0,0,0.72,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.91,0,1.17,0,1.5,0,853.9,0,0,0,0,1.55,104.92,1.72,1.83,17.12,0,0,0,4.12,1.55,144.64,0,0,0,2.07,0,0,0,0
 48-58,0,0,0,0,0.41,0,0,6.01,0,0,0.55,0,0,610.07,0,0,0,0,3.71,21.82,14.1,19.36,30.5,0,0,0,0,0,0,0,0.75,0,3.33,8.89,0,0,5
 60-70,0,0,0,0,0.71,0,0,18.84,0,0,0,2.93,0,578.89,0,0,0,0,3.78,4.76,0,0,35.29,0,1.96,0,0.63,0,0,0,0,0,0,2.57,3.21,0,0
 72-82,0,0,0.5,0,2.4,3.07,0,2.02,0,0,0,3.81,0,271.34,0,0,0,0,26.56,14.59,1.83,0,19.87,0,0.88,0,0,1.36,0,0,0,0,0,21.06,0,0,0
 84-94,0,0,0,0,2.38,1.28,0,8.88,0,0,0,0,0,552.65,0,0,0,0,140.33,3.13,0,0,8.83,0,1.14,0,0,0.67,0,0,0,0,6.77,7.42,4.34,0,0
 96-106,0,0,0,0,9.38,5.24,0,8.35,0,0,0,11.46,17.33,1108.2,0,0.97,1.28,0,49.45,8.1,0,0,49.15,0,0,0,0,16.61,0,0,0,0,4.94,5.05,0,44.85,0
108-118,0,0,0,0,5,17.83,1.51,19.73,0.78,0,0,6.69,0.67,855.61,0,0.95,0,2.43,302.11,13.81,5.72,1.09,48.42,1.37,0.47,0,0,6.69,0,0,0.56,0,1.53,6.57,0.87,7.22,0
120,0,0,0,0,73.04,0,0,30.9,1.25,0,16.39,0,4.7,517.23,2.29,0,0,0,30.69,3.82,0,0,35.86,0,4.66,0,12.68,0,0,0,0,0,0,39.53,0,11.86,0
