stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,73.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.43,0,0,0,0,0,0,0,0,0,0
  5-6,0,77.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.33,0,0,0,0,0,46.66,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.44,0,0,0,0,5.19,0,0,0,0,0,28.55,0,0,0,0,0,0,0,0,0,0,354.69,0,0,0,16.55,0,18.08,0,0,0,0,0,0,0,0,0,0
 10-12,0,36.94,0,4.37,0,9.65,20,0,0,0,0,0,72.73,0,0,0,0,0,0,0,0,0,0,1596.58,0,0,0,124.21,0,16.21,9.31,0,0,25.22,0,0,0,0,0,0
 14-21,0,0,0,8.89,1818.02,0,7.18,0,12.37,0,1.2,0.97,4.75,0,0,34.62,0,0,0,17.99,4.72,0,172.01,98.51,10.54,0,0,0,0,112.56,97.9,0,1.78,1458.1,8.58,0,0,1.55,0,0
 24-34,0,0,0,3.24,943.05,0,2.99,0,84.14,1.58,4.15,0,4.3,0.86,1.2,9.84,10.23,0,0,59.26,17.72,0,50.54,138.7,0,5.5,0,0,0,154.82,0,0,0,103.61,16.28,0,0,6.76,0,0
 36-46,0,0,0,0,574.22,0,12.18,0,93.78,2.73,5.86,1.2,1.36,0.63,0,27.17,0,1.51,0,54.87,1.36,6.19,10.66,72.45,1.14,5,0,0,0,158.58,0,0,0,1.34,6.72,0,1.37,0,0,0
 48-58,0,0,0,0,554.48,0,24.52,0,76.87,1.62,5.6,0,2.38,1.67,0,17.4,3.65,0,0,90.71,4.89,4.4,4.31,76.94,0,2.69,0,0,0,39.89,0,0,0,0,8.2,0,0,0.98,0,0.53
 60-70,0,0,0,0,484.51,0,20.31,0,131.18,0.87,1.7,0.67,0,0,14.54,3.51,7.73,0,0,112.33,4.78,8.67,1.65,65.94,0,5.84,0,0,3.31,8.41,0,0.63,0,0,5.03,3.24,0,0,2.65,0
 72-82,0,0,0,0,426.87,3.01,30.05,0.55,81.72,0.56,11.34,5.97,3.6,0,0,4.36,13.3,0,0,87.87,18.01,11.27,9.93,331.3,2.91,10.21,0,0,1.42,0.66,0,1,0,0,6.12,7.66,0.56,1.31,7.94,0
 84-94,0,0,0,0,765.88,1.21,45.35,0,125.65,0,8.21,13.38,4.31,0,0,16.55,6.43,2.64,0,79.92,28.17,39.42,4.92,145.55,0,13.17,0.69,0,0,9.67,0,0,0,0,2.33,18.15,5.16,10.12,10.17,0
 96-106,0,0,0,0,753.02,9.28,42.61,0,105.46,0.85,14.92,49.7,1.06,0,0.59,11.09,18.64,2.65,0,41.68,27.27,14.39,5.11,452.29,0,26.22,2.05,0,2.2,12.33,0,0,5.77,0,13.4,22.67,0,0,4.01,0
108-118,0,0,1.83,0,855.99,1.29,39.01,0,169.5,4.52,5.58,67.49,0,0,0.54,17.46,10.71,2.34,0,69.5,27.34,17.26,2.66,454.66,2,27.22,0,0,0,7.15,0,1.66,0,0,3.91,54.3,0,0,5.04,0.91
120,1.12,0,0,0,835.45,9.23,47.04,0,103.27,0,0,66.36,0,0,0,14.13,13.42,0,1.79,63.98,30.87,56.18,0,746.66,0,4.07,0,0,0,19.5,0,0,0,0,0,25.65,0,2.09,0,0
