stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,11.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.12,75.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.79,3.64,22.11,0,0,13.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.19,0,0,27.99,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,10.79,0,0,12.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.74,0,0,14.18,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.08,1.03,0,14.34,0,0,0,0,0,0,0,0,0,0,0,0,3.4,0,0,208.04,0,0,0.86,1.86,3.2,0,0,2.2,116.73,0,0,0,0
 24-34,0,0,0,3.26,0,27.14,0,0,0,0,0,0,0,0,0,0,0.66,2.96,8.78,0,0,756.17,0,18.76,0,1.51,0,2.17,3.34,0,188.9,0,0,0,0
 36-46,0,0,0,2.44,0,53.49,0,0,0,6.07,0,0,0,0,0,0,0,0,12.87,0,2.01,1576.04,0,7.2,0,2.35,0,0,0,0,335.38,0,0.91,0,0
 48-58,0,0,0,5.36,0,71.12,0,6.1,0,33.32,0.4,1.29,0,0,7.49,0,0,0,14.72,3.08,2.25,2102.96,0,19.03,0,0.53,0,0.74,0,0,523.29,0,0.81,0,0
 60-70,0,0,0,4.58,2.56,75.62,0,2.63,0,19.19,0,0,0,0,9.62,0,0,0,3.12,0,0.74,1602.15,0,2.99,0,15.93,0,1.84,0,0,447.53,0,0,0.81,4.11
 72-82,0,0,0,3.61,3.1,51.77,0,0,8.38,14.18,0,0,0,0,0,3.39,7.17,0,10.3,1.12,0,897.32,3.31,19.29,0,4.88,0,0,0,0,139.78,0,0,0,6.3
 84-94,0,0,0,0,0,59.15,0,0,0.67,8.85,0,1.31,0.69,0,0,2.65,0,0,19.43,0,1.49,556.18,0,27.55,0,1.35,0,0,0,0,94.88,0,0.97,0,2.77
 96-106,0,0,0,0.76,0,45.54,8.17,0,0,30.02,0,0,0,1.23,0,6.42,0.63,0,18.63,0,0,308.67,0,16.25,0,0,0,0,0,0,44.08,0,0,0,0
108-118,0,0,0,7.62,0.42,43.03,0,0,1.15,14.07,0.47,0,0.59,0.86,0,0,0,0,8.17,0,0.45,355.11,0,22.68,0,1.37,0,0,0,0,18.38,1,0.67,0,0
120,0,0,0,13.14,7.77,37.45,0,0,15.34,39.82,0,0,0,0,0,0,0,0,8.08,0,1.03,579.22,0,46.4,0,0,0,0,0,0,18.84,0,0,0,0
