stage,blastomeres,epidermis,erythrocytes,eye,glial,immune,iridophores,lateral.line,melanocytes,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,spinal.cord,vasculature,xanthophores
  3-4,12.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,35.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,26.86,0,3.74,0,0,0,0
 14-21,0,0,0,0.9,0,0,0,0,0,1.65,0,3.74,0,0,0,4.99,1.01,0
 24-34,0,0,0,2.28,0,0,0,0,0.75,0,0.67,21.1,0,0,0,4.87,0,1.34
 36-46,0,0,0,1.84,0.77,0,0,0,2.84,0.62,0,4.79,0,0,0,0,0,0
 48-58,0,0,0,1.17,0,0,0,0,8.54,0.97,0.48,10.06,0.38,0,0,0.38,0,3.49
 60-70,0,0,0,0,0,0,0,0,0,1.66,0,0.88,0,0,0,0,0,0.94
 72-82,0,0,0.58,0,0,0,0,0,0,2.73,0.66,1.16,0,0,0,0,0,2.27
 84-94,0,0.62,0,8.56,0,0,3.21,0,0,0,0,0.75,0,0,0,0,0,4.14
 96-106,0,4.68,0,0.98,2.08,3.83,0.71,0,1.5,0.96,0,1.16,0,0,0,0,0,0
108-118,0,0,0,0,0.73,0.62,5.78,5.85,4.05,0,0,2.09,0,0,0,0,0,5.73
120,0,0,0,0,7.62,0,1.43,0,3.89,0,0,5.67,0,0,2.46,0,0,0
