stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,taste,vasculature
  3-4,0,543.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.87,0,0,0,0
  5-6,25.43,307.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.36,0,0,0,0
  7-9,0,0,0,6.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.3,0,0,0,8.3,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.98,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.69,0,1.05,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,7.19,0,4.36,0,0
 24-34,0,0,4.75,0,0.63,0,7.55,0,0,0,0.96,0,0,0,0.67,0.83,0,0,1.65,0,0,0,50.12,9.07,26.38,0,0,183.54,0,24.87,0,0
 36-46,0,0,0,0,2.46,0,18.08,0,0,0,0,0,0,0,0.83,0,0,0,1.61,0,0,0,118.37,0,30.51,0,0,307.14,0,36.05,0,0.57
 48-58,0,0,0.49,0,0.93,0,27.49,0,2.57,0.78,2.79,0,0,0,0.47,0,0,0,1.07,5.27,0,0,160.42,0,49.42,0.67,0,227.99,0,28.18,0,0
 60-70,0,0,0.82,0,8.65,0,391.85,1.33,1.21,0,2.55,0,0,0,0.58,0,1.72,0.93,1.86,2.4,0,0.85,249.47,0.68,33.06,0,0,309.81,0,19.15,2.51,0
 72-82,0,0,2.42,0,10.16,0,1206.86,0,3.65,0,15.13,0,0.66,0.61,0.56,0,0,0,9.96,0.69,0,1.65,276.98,0,83.58,0.52,0,322.4,0,18.07,7.04,1.3
 84-94,0.62,0,0.98,0,12.75,0.79,839.36,0,11.87,0,16.47,1.92,0,0,5.11,0,9.96,0,13.59,11.05,0,0,217.66,0.62,54.5,2.28,0,1018.04,0.83,8.71,19.39,3.08
 96-106,0,0,1.05,0,29.57,9.03,1163.99,0.59,2.5,0,15.47,0,1.64,2.88,9.31,1.5,9.47,0.71,13.71,13.15,0.8,0,220.95,0,138.72,0.9,0,785.92,0,4.03,30.78,2.02
108-118,0,0,0,0,37.08,6.44,1072.1,0.67,10.2,0,18.5,1.4,0,5.94,10.06,0,7.29,0,16.13,14.07,0,1.01,258.85,0,66.12,1.62,0,726.73,0,3.86,26.47,2.85
120,0,0,0,0,77.88,0,1299.48,0,24.2,0,19.25,3.3,0,7.8,2.83,0,0,0,18.14,6.24,0,0,395.76,0,93.1,0,0,515.83,0,4.36,23.36,6.98
