stage,epidermis,mesenchyme,muscle,neural,periderm,spinal_cord
 14-21,0,0,0,0,0,0.82
 36-46,0,0,0,9.09,0,0
 48-58,6.64,0,0.44,0,1.07,0
 84-94,0,4.4,0,0,0,0
