stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,pericytes,periderm,spinal.cord,taste,vasculature
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32,3.52,0,0,1.47,0,0
 24-34,0,0,0,4.92,0,0,0,0,0,0,0,0,0,0,0,80.22,7.77,0,1.11,21.99,0,0
 36-46,3.09,0,0,10.91,0,0,1.34,0,0,0,0,0,0.91,0,2.49,322.86,7.29,0,5.5,61.86,0,0
 48-58,0.54,7.43,0,75.75,2.52,0,1.2,0,0,0,0,0,0,0,0,530.44,4.73,0,1.18,78.13,0,0.77
 60-70,0.89,0.75,0,190.61,0,0,8.86,0,0,0,0,0,1.01,4.53,0,689.02,7.01,0,0,85,0,0
 72-82,3.65,3.23,0,365.88,0,1.17,21.04,0.56,0,0.54,0,0,9.66,0,0,746.89,2.47,0,0,54.14,0,0
 84-94,0,1.99,7.89,233.28,0,0,29,1.6,0,0,0,0.58,3.93,0,0,565.99,4.94,0,3.21,22.99,0,0
 96-106,2.18,3.38,1.42,245.58,0,0,7.95,0,0.58,7.77,0,0,9.3,0,0,463.87,16.94,0,0,20.82,0,0
108-118,3.05,5.97,1.21,310.78,0,0.65,18.99,0.52,0,1.17,0.51,0,3.97,0,1.26,686.77,13.09,0.76,0,3.8,0.63,0
120,4.34,1.09,0,460.21,0,0,63.03,0,0,0,0,0,27.08,1.65,2.38,1138.3,6.96,0,0,24.17,0,0
