stage,axial,blastomeres,epidermis,eye,fast.muscle,glial,hatching.gland,lateral.line,mesenchyme,neural,notochord,otic,paraxial.mesoderm,periderm,spinal.cord
  3-4,0,42.07,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.79,83.73,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,8.75,0,0,154.58,0,0,32.72,0,0
 10-12,0,0,0,5.27,0,0,0,0,0,132.93,3.54,0,33.48,0,0
 36-46,0,0,0,0,0,0,0,0,0,2.16,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,1.58,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,1.03,0,2.08,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,1.53,0,3.81,0,0,0,0,0
 84-94,0,0,0,0,0.55,1.36,0,0,0,1.68,0,0,0,0,0
 96-106,0,0,0.86,0,0,6.5,0,0,0,3.61,0,0,0,0,0
108-118,0,0,0,3.08,0,6.76,0,0,1.15,10.51,0,0.43,0,0.52,0
120,0,0,0,0,0,32.69,0,0,0,44.08,0,0,0,0,3.57
