stage,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,vascular.smooth.muscle,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,7.88,0,0,0,0,0,0,7.09,0.85,0,0,0,0.9,4.37,0,0,0
 24-34,0,0.93,0,0,0,0,0,0,18.53,5.22,0,0,0.72,0,1.04,3.63,0,0,0,0,0,0,0,0,0
 36-46,0,2.32,0,0,0,0,0,0,30.15,5.1,0,0,0,0,0,2.79,0,0,0,0,0,0,0,1.04,0
 48-58,0,2.3,0,0,0,0,0,0.77,36.16,1.43,0,0,0.42,0.53,0,0,0,0,0,0,0,0,0,0.93,0
 60-70,0,1.2,0,0,0,0,0,1.21,47.66,3.06,0,0,3.12,0,0,2.02,0,0,0,0.8,0,0,0,1.17,0
 72-82,0,0,3.83,5.34,0,1.84,1.24,0,44.23,1.86,0,16.85,0.8,0.56,0,12.91,0,0,0,6.02,1.27,0,0,2.68,0
 84-94,0,0,2.12,9.56,0,2.54,2.72,1.23,88.28,6.58,0,7.3,0,13.24,0,4.97,0,0,0,21.16,3.35,0,0,7.04,0
 96-106,0,3.41,1.66,4.75,0,2.36,5.84,0,107.23,5.77,0,12.69,0.66,1.89,0.88,21.22,0,0.77,0,16.71,0.82,0,0,5.76,0
108-118,0.44,3.06,0,0,0,1.67,10.63,0,87.56,11.49,0,12.61,2.41,5.89,0,21.31,0,0,1.58,25.6,1.31,0,0,5.62,0
120,0,0,10.5,1.51,4.59,3.73,35.07,0,130.45,2.42,2.29,15.44,0,1.31,1.7,17.91,0,0,0,32.31,6.73,0,2.35,10.54,1.16
