stage,blastomeres,endocrine_pancreas,epidermis,eye,fin_epithelia,glial,gut,immune,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,paraxial_mesoderm,pericytes,periderm,spinal_cord,taste,vasculature
  3-4,24.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.19,9.74,0,3.78,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.82,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16,0,0,22.54,1.08,0,0
 24-34,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,5.49,0,0,126.1,0,0,0.7
 36-46,0,0,0,0.93,0,0,0,0,0,0,0,0,0,0.68,4.58,0,0,125.27,0.75,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0.54,0,0.75,0,2.56,0,0,59.36,4.54,0,0
 60-70,0,0,0,0,0.94,0.87,0,0,0,0,0,0,0,0,1.25,0,0,27.74,0,0,0
 72-82,0,0,1.04,0,0,0,0,0,0,0,0,1.62,0,0,4.98,0,0.8,20.66,0,0,0
 84-94,0,1.53,3,0,0,0,6.28,0,2.7,0.6,1.39,0,0,0,0,0,0,77.03,0,0,0
 96-106,0,0,8.54,0,1.25,0,2.78,0,0.74,0,0,0.71,0,0,0,0,0,68.11,0,1.23,0
108-118,0,0,2.77,5.27,0,0,1.54,0.47,0.43,0,0.49,0.72,0,0,0,0,0,65.12,0,0.91,0
120,0,0,30.57,0,0,0,8.72,2.44,0,0,0,2.21,0,0,0,0,0,53.58,0,2.24,0
