stage,blastomeres,epidermis,eye,fin_epithelia,glial,melanocytes,mesenchyme,muscle,neural,olfactory,pericytes,periderm,somites,spinal_cord,vasculature,xanthophores
  3-4,18.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
 14-21,0,1.14,0,0,0,0,0,0,9.83,0,0,2.95,0.84,0,0,0
 24-34,0,0,1.03,0,0,0,0,3.99,17.85,0,0,0,0,7.44,0,0
 36-46,0,0.89,2.01,0,1.3,5.93,2.35,1.82,31.93,0.89,0,0,0,4.47,0,0
 48-58,0,0,3.12,0,0.7,0,1.72,0,21.72,0,0,0,0,3.18,0,1.67
 60-70,0,0,8.23,0,8.38,0,2.31,0.6,33.78,0,0,0,0,6.2,3.22,0
 72-82,0,0,8.84,0,0.57,0,1.72,0,40.45,0,0,0,0,0,0,2.17
 84-94,0,0,0,0,3.09,0,3.1,0.68,0,0,0,0,0,0,10.87,0
 96-106,0,0,1.35,2.07,0,0,0,0,4.98,0,0,0,0,0,0,0
108-118,0,0.66,1.27,0,0,0,2.69,0,16.35,1.06,0,0,0,1.17,0,0
120,0,0,0,0,4.79,0,12.39,1.91,33.36,0,9.21,0,0,0,3.45,0
