stage,blastomeres,endoderm,epidermis,eye,melanocytes,mesenchyme,neural,paraxial.mesoderm,pericytes,periderm,spinal.cord,vascular.smooth.muscle
  3-4,44.92,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.74,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.33,0,0,0,0,0,117.62,30.51,0,4.29,0,0
 10-12,0,17.25,0,17.85,0,0,23.56,4.4,0,0,0,0
 14-21,0,0,0,0,0,0.81,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.11,0
 36-46,0,0,0,0,0,0,1.79,0,0,0,1.56,0
 48-58,0,0,0,0,0.74,0,0.82,0,0,0,0,0
 60-70,0,0,0.71,7.55,0,0,8.28,0,0,0,0,0
 72-82,0,0,0,2.62,0,0,2.89,0,0,0,0,0.52
 84-94,0,0,0,1.47,0,0,1.77,0,0,0,0,0
 96-106,0,0,0,0,0,0,9.62,0,0,0,0,0
108-118,0,0,0,3.94,0,0,2.51,0,0.86,0,0,0
120,0,0,0,0,0,0,3.8,0,0,0,0,0
