stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,0,10.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.22,20.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,12.96,0,0,0,0,18.22,0,0,0,0,0,0,0,0,0,0,0,68.1,8.73,0,0,23.2,0,0,0,0,0,0,0,0
 10-12,0,0,5.83,0,0,38.99,0,0,0,0,0,0,0,0,0,0,0,162.96,25.03,0,0,23.96,3.1,0,0,19.43,0,0,0,0
 14-21,0,0,1.05,17.5,3.86,11.02,0,26.72,0.83,0,0,0,0.92,0,11.21,0,10.35,88.4,7.66,0,5.72,3.8,0,1.23,16.36,15.17,9.41,93.31,0,0
 24-34,0,0,0.7,5.89,0,13.31,0,9.81,0,0,0,0,1.42,0,10.19,0,2.44,21.83,0.59,3.01,2.13,0,0,0,0,5.86,6.72,30.99,0,0
 36-46,0,0,0,0.73,0,2.61,0,19.71,0,0,0,0,0.67,0,4.57,0,1.71,19.84,0.66,5.23,1.53,0,0,0,0,6.91,0,14.85,0,0
 48-58,0,0,0,0.54,0,17.47,0,10.25,0,0,0,0,1.99,0,2.73,0,1.27,16.34,0,0.5,0.8,0,0,0,0,0,0,26.36,0,0
 60-70,0,0,0,0,0,44.86,0,32.58,0,0,0,0,5.4,0,14.52,0.95,1.31,3.8,0,2.99,4.73,0,0,0,0,0,0,11.08,0,0
 72-82,0,0,0,0,0,158.59,0,24.99,0,0.66,0,0,1.74,0,13.14,0,0,12.9,0,3.05,9.6,0,0,0,0,0.87,0,2.29,0,0.57
 84-94,0,0,0,0,0,173.13,1.45,19.53,0,0,0,0,0.8,0,19.63,8.84,0,5.08,0,0,3.41,0,0,0,0,3.09,0,9.3,0,0
 96-106,0,0,0,0.6,1.17,260.11,0,19.35,0,0,0,0.86,4.37,1.03,15.83,0,6.16,25.7,0,11.8,15.63,0,0.57,0,0,3.91,0,7.78,0,0.66
108-118,0,0,0,1.74,0,303,0.49,6.59,0,0,0,0,2.47,0,17.19,0,0.42,11.33,0,6.4,11.45,0,0,0,0,2.69,0,0.89,1.79,0
120,0,0,0,0,2.74,290.54,0,29.37,0,0,12.21,0,4.04,11.4,8.04,0,1.99,8.81,0,0,13.8,0,0,0,0,1.22,0,0,7.76,3.54
