stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,12.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.45,0,5.52,0,0,0,0,0,0,0,6.02,0,0,0,0,0,0,0,0,5.72,0,0,8.14,0,0,0,0,0,0,0
 14-21,0,0,0,1.68,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,32.39,1.11,0,0,0,0,1.15,12.68,0,0,0,0
 24-34,0,0.67,0,2.9,3.43,0,0,0,1.04,0,0,0,0,0,0,0,2.53,1.16,438.96,6.65,2.75,0,0,0,0,68.62,0,0,0,0
 36-46,0,0,0,0.79,12.58,0,0,0,36.93,0,0,0,0,0,0,0,2.66,0,932.74,0,0,0,0,0,0,186.37,0,0,0,0
 48-58,0,0,0,12.12,44.82,0,0,0,51.51,1.69,0,0,0,0,0,0,2.81,1.18,1465.62,0,0,0,0,0,0,210.54,0,0,0,0.42
 60-70,0,0.62,0,0,174.75,0,0,0,89.8,0,0,0,0,0,0,1.05,3.16,3,2182.9,0,0,0,0,1.13,0,297.53,0,0.7,0,8.31
 72-82,0,2.04,0,7.31,213.86,0,0.5,2.68,83.02,1.68,0,0,1.77,0,0,0,16.18,0.58,2437.08,0,0,0,0,0,0,196.89,0,1.22,0,8.48
 84-94,0,1.92,0,6.59,207.95,0,0,0,37.73,2.84,0,0,0,0,1.67,0,12.77,1.35,1572.09,0,0,1.22,0,0,4.27,199.19,0,0.61,0,0
 96-106,0,3.35,0,7.64,122.25,0,1,0,65.34,0,0,0,0,0,0,0,1.03,0,1267.5,0,0.84,0,0,0,6.79,83.07,0,0,2,3.35
108-118,0,3.42,0,4.75,175.86,0,0,0,47.97,4.96,0,0,1.22,3.67,3.2,0,13.52,0.72,1343.66,0,0,0,0,0,2.7,90.21,0.56,0,0,0
120,0,0,0,1.66,237.77,18.76,0,0,28.8,2.56,0,4.47,0,0,0,0,14.81,0,2482.01,0,2,14.75,0,0,2.03,120.29,0,1.44,0,0
