stage,axial,blastomeres,epidermis,eye,fast.muscle,fin.epithelia,glial,hatching.gland,heart,melanocytes,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,0,32.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.01,69.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.67,0,0,3.84,0,0,0,0,0,0,0,0,0,49.55,0,4.48,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.11,0,0,0,0,0,9.23,0,3.04,0,0,0,0,0,0
 14-21,0,0,0.98,0.88,0,0,0,0,0,0,1.98,0,0,12.77,0,1.74,0,1.74,2.93,4.06,0,0
 24-34,0,0,0.96,1.29,0,0,0,0,0,0,2.83,0,0.68,24.84,0.68,0,0,0,1.44,1.97,0,0
 36-46,0,0,0,3.58,0,0,0,0,0,0,2.39,0,0,16.03,0,0,1.69,0,0.83,3.03,0,0
 48-58,0,0,0,10.95,0.38,0,0,0,0,0.39,4.56,0.5,2.12,15.89,0.37,0,0.69,0,0,2.21,0,0
 60-70,0,0,0,7.12,0,0,0,0,0,0,6.45,0,1.15,7.61,0,0,0.86,0,0,0,0,0
 72-82,0,0,0,4.21,0,0,1.19,0,0,0,8.31,0,2.82,5.3,0,0,0,0,0,0,0,0
 84-94,0,0,0.57,1.52,0,0,0,0,0,0,2.82,0,2.29,2.66,0,0,3.35,0,0,0,0,0
 96-106,0,0,1.13,0,0,0.7,1,0,0.99,0,1.51,0,0,3.22,0,0,1.65,0,0,0,0.88,0
108-118,0,0,0,0.97,0,0,0,0,0,0,1.89,0,0,1.13,0,0,0,0,0,0,0,0
120,0,0,5.26,16.16,0,0,0,0,0,0,4.08,0,2.62,0,0,0,0,0,0,0,0,1.59
