stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.21,395.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.98,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,168.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.83,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.73,0,0,56.63,0,0,0,15.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.34,0,0,0,7.5,0,0,5.11,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.57,0,0,0,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.96,5.96,0,0,1.09,0,0,0,1.26,0,0,0,0,0,0,0,0,0,0,0,0,60.55,0,1.74,0,0,0,0,0,1.09,1.56,1.15,0,47.23,0,0,0,0,0
 24-34,0,0,3.69,0.6,2.5,0.81,0,15.73,0,0,1.42,3.86,1.82,1.94,0,0,0,0,0,0,3.07,0,0,1.44,504.27,0.95,39.84,0,0,0,0,0,0,0,2.83,0.77,85.56,0,0,2.09,0,0.93
 36-46,0,0,0,0,3.45,0,0,31.18,0,0,0.71,5.9,0,2.24,0,0,0,0,0,0,4.61,0,0,5.64,1247.19,0,32.53,0.63,0,0,1.43,0,0,0,0,0,190.41,0,0,10.65,0,10
 48-58,0,0,1.07,0,6.96,2.12,0,295.97,7.02,0,1.27,24.24,1.96,1.9,0,0,3.43,0,7.38,5.98,41.57,0,1.4,3.23,2076.93,0,16.74,2.05,0,0,9,0,0,1.34,2.14,0,264.97,0,0,6.44,0,4.7
 60-70,0,0,11.24,0,1.27,0,0,829.39,3,0,4.06,30.8,0,0.61,0,0,0,0,0,0,18.65,3.03,0,2.7,3061.64,0,9.57,0,0,0,4.7,0,0,0.58,2.46,0,277.04,0,6.04,1.47,0,15.15
 72-82,0,0,5.71,0,14.42,2.15,0,933.14,1.59,0,3.3,48.67,2.76,1.92,2.66,0,1.29,0.64,0,8.99,85.33,0,7.86,5.91,2651.36,0.51,18.28,17.47,0,0.71,2.66,0,0,0,0,0,206.54,1.16,1.96,10.41,3.96,14.85
 84-94,0,0,1.89,1,18.19,1.54,11.01,622.69,0,1.31,5.8,40.94,2.31,0,1.75,0.69,2.83,0.69,1.15,0,26.94,0,2.37,10.93,1493.42,1.25,15.56,3.42,0,0,8.68,0,0,0,0.62,0,130.78,3.1,0,13.66,8.49,0
 96-106,0,0,5.1,0,6.61,6.24,0,478.15,2.79,0,2.92,43.23,0.93,0.87,0.8,0.9,4.38,0,1.98,0,29.75,1.38,7.6,2.36,1197.28,0,31.73,8.75,0,0,5.14,0,0,1.42,0,0,65.64,0,1.27,15.68,1.08,4.76
108-118,0,0,1.13,0.61,22.06,2.18,3.7,396.17,2,0,0.47,37.94,0.92,0.69,1.55,0,7.64,0,0,0,29.51,0,2,1.1,1505.21,1.32,9.23,5.77,0,0,2.64,0,0,0.94,1.2,0,47.95,0,2.26,12.01,1.6,0
120,0,0,11.35,0,20.52,11.37,0,452.56,1.21,0,5.14,51.72,0,0,2.51,0,0,0,0,3.89,58.33,0,0,0,2978.14,2.42,44.19,2.19,0,0,0,0,0,0,0,0,151.03,0,3.48,9.43,23.58,13.4
