stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,vasculature,xanthophores
  3-4,11.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,25.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,9.28,0,0,0,0,0,0,0,0,0,0,19.25,3.53,0,0,11.55,0,0,0,0,0,0,0
 10-12,0,0,0,0,5.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0.89,0,2.09,11.52,0,0,0,0,0,0,1.18,6.57,3.58,0,0
 24-34,0,0,0,0,5.32,0,0,0,0,0,0,0,2.03,0,0,33.55,0,0,0,0,0,0,0,0,15.32,0,0
 36-46,0,0.77,0,0,22.14,0,0.72,0,0,0,0,0,1.34,0,0.89,29.96,0,0,2.27,0,0,0,0,0,3.7,0,0
 48-58,0,0.42,0,0,19.82,0.67,2.22,0.43,0,0,0,0.54,1.86,0.53,0.39,39.95,0,0.41,0.7,0,0,0,0,0,3.92,0,0
 60-70,0,0,0,0,34.63,0,0.68,0,0,0,0,0,1.36,0,0.77,16.73,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,100.3,0,3.89,0,0,0,0,0,0.84,0,0,15.15,0,0,0,0,0,0,0,0,0,0,3.06
 84-94,0,0.76,0,0,122.63,0,0,0.9,0,1,0,0,0,0,0,3.45,0,0,0,0,0,2.8,0,0,0,0.64,0
 96-106,0,0,0,0.62,194.6,0,10.58,0,0,0,3.65,0,2.23,0,0,14.79,0,1.1,8.77,0,1.87,0,0,0,0,0,0
108-118,0,0.53,0,0,232.73,0,0.41,0,0.67,0,4.74,0,0.51,1.03,0,22.55,0,2.63,1.87,0,0.45,0,0,0,0,0,0
120,0,1.72,3.03,0,113.99,0,0,2.63,0,0,9.43,0,0,0,0,16.98,0,0,1.61,0,0,0,0,0,0,0,0
