stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,61.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.85,161.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.94,0,0,0,0,0,0,0,0,0,0
  7-9,18.52,15,0,10.69,0,0,0,30.52,0,0,0,0,0,12.78,0,0,0,0,0,0,0,0,0,126.65,0,0,0,48.06,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,7.2,0,0,0,30.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268.27,0,0,0,12.09,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,7.57,0,0,2.66,0,0,0,1.01,1.21,0,0,0,0,0,0,2.94,8.16,0,17.77,58.27,10.76,0,0.95,1.12,0,2.86,4.87,0,0,491,21.13,0,0,0,0,0
 24-34,0,0,0,0,2.3,0,0,58.68,0.78,0.62,0,0.91,0,0,1.35,0,0,0,0,11.43,6.54,0,31.74,432.86,0.7,2.66,0.62,0,0,8.19,0,0.6,1.26,234.13,81.94,0,0,0,0,0
 36-46,0,0,0,0,3.43,0,0,1260.61,2.7,5.92,0,16.69,0,0,0.72,0,0,0,0,0,16.37,3.58,15.23,1396.85,0,1.02,4.73,14.18,0,0,0,2.12,0,4.82,136.42,0,0,1.09,0,0
 48-58,0,0,0.86,0,14.94,1.15,0,2841.23,4.41,5.56,5.64,88.46,0.38,0,0.61,0.68,1.05,0,0,1.16,32.64,1.87,40.79,2588.17,8.09,3.86,1.64,0,3.61,4.39,0,0.52,0,0,187.07,0,0,0.83,0,3.02
 60-70,0,0,0.91,0,20.28,3.51,0,2225.69,5.59,1.4,0,119.96,0,0,3.81,0,0,0,0,0,26.33,1.36,30.34,2765.1,0,0.73,8.49,0,1.41,3.97,1.38,5.16,0,0,103.56,0,0,1.24,1.46,0
 72-82,0,0,0,0,9.67,0.52,0,1127.57,0.75,0,0,124.48,0,0,0.75,0,0,0,0,0.96,39.91,1.92,15.93,3269.65,0,4.02,2.79,0,3.52,2.38,0,1.09,0,0,121.73,0,0,2.65,2.17,5.55
 84-94,0,0,0,0,5.44,0,0,789.68,0.7,0.74,0,91.91,0,0,5.94,0.84,0,4.23,0,0,35.67,3.9,11.65,2009.27,0,0,0.61,0,0,3.17,0,0.7,1.11,0,70.23,1.21,1.15,1.18,0,0
 96-106,0,0,1.38,0,18.5,3.16,1.05,709.04,3.75,1.17,0,139.08,2.56,0,4.11,0.65,0,0,0,17,39.73,4.94,23.04,1846.16,0,1.37,2.16,0,0.99,10.37,0,1.37,0,0,47.72,0,1.03,0.68,0.68,0
108-118,0,0,0,0,20.39,3.73,0,672.45,2.21,0.45,0.86,101.92,1.36,0,2.06,0.64,4.3,0,1.26,0.45,54.12,5.09,26.04,1755.13,0,0,3.44,0,8.57,1.3,0,0,0,0,28.8,0,0,3.18,0,1.42
120,0,0,0,0,3.74,0,0,739.78,1.18,0,2.17,222.89,0,0,4.47,0,0,0,0,0,24.37,0,21.29,3020.37,3.99,3.27,7.79,0,5.29,10.3,0,0,0,0,28.83,0,5.42,16.99,0,0
