stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  5-6,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,3.87,0,0,0,0,0,0,0,0,0,0,0,9.15,0,0,4.46,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,4.23,0,0,0,0,0,0,0,0,0,0,0,11.55,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2.17,0.92,0,0,0,0,0,0,0,0.9,0,0,0.99,0,0,3.49,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,21.9,0,0,0,0,0,0,0,0,1.49,0,0,0,0,0,16.72,0,0,0,3.01,0,0.6,0.59,2.74,0,0,4.52
 36-46,0,74.21,2.51,0,6.6,0,0.66,1.66,0,0,0,1.17,0,7.44,0,0,17.15,0,0,0,8.24,0,0,0,4.13,0,0,0.56
 48-58,0,91.48,0,0,18.87,0,2.44,0,0,0,0,0,0,4.88,0,0,16.94,1.03,0,0,9.26,0,0,0,1.33,0,0,0.51
 60-70,0,95.83,0,0,10.25,1.08,8.89,4.7,0,0,0,0,1.77,7.1,1.92,0,41.19,0,2.02,0,8.49,0,0,0,2.3,0,0,0
 72-82,0,93.8,0,0,11.8,0,6.74,0,0.66,0,0,0,0,4.7,3.51,0,23.28,0,0,0,0.97,0.53,0,0,1.98,0,1.56,0
 84-94,0,201.02,0,0.89,3.33,0,13.08,10.73,0.66,0,0.61,0,0,8.36,3.93,0,15.06,0,1.05,0,8.09,1.84,0,0,4.59,0,0,0
 96-106,0,215.17,4.03,0,0.6,0,9.22,1.27,0.95,1.19,0,0,0.62,3.8,1.46,0,11.33,0,0,0,8.28,0,0,0,0,0,0.88,1.6
108-118,0,375.81,3.17,3.98,9.22,1.07,42.86,0,1.76,0,1.6,1.51,0,6.8,3.05,1.91,14.14,0,1.25,0,14.69,1.49,0,0,3.29,0.49,0,0
120,0,318.43,1.88,0,0,0,37.97,0,2.13,0,2.5,0,0,28.19,4.94,0,36.29,0,0,0,3.17,2.44,0,0,0,0,0,0
