stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,mesenchyme,mucous,neural,notochord,olfactory,otic,periderm,spinal.cord,taste,vasculature
  3-4,16.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,11.2,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,10.85,0,3.45,0,0,0,0,0,7.19,0,0,0,0,52.68,0,0,0,0,0,0,0
 14-21,0,1.23,0,12.73,0,1.16,0,0,0,0,0,0,0,1.78,0,0,0,0,1,0,0
 24-34,0,4.04,0,11.45,0,2.59,0,0,0,0.98,0,7.97,0,3.12,0,0,0,0,0,0,0.66
 36-46,0,1.03,0,8.87,0,0,2.52,0,0,0,0,1.49,0,0.62,0.6,0,0,0,0,0,0.82
 48-58,0,1.17,0,10.33,1.23,4.49,0,0,0,0,0,0.71,0,3.34,0,0,0,0,0.76,0,0
 60-70,0,0,0,16.27,0,0,0.84,2.93,0,0,2.14,2.93,0,15.94,0,0,0,0,0,0,0
 72-82,0,1.91,0,38.4,1.6,2.72,2.47,3.06,0,0,4.38,0.92,0,5.05,0,0,0,0,8.84,2.84,0
 84-94,0,0.85,0,53.78,7.76,4.77,0,10.28,0,0,3.64,0,0,0,0,0,4.66,0.99,0,9.88,0
 96-106,0,1.82,0,59.28,0.67,8.49,0,10.59,0,0,12.05,2.37,1.24,24.07,0,0,3.98,0,0.64,9.44,0
108-118,0,2.38,0,46.57,1,11.24,0,9.53,0,0,6.84,0,0,12.81,0,0.77,0,0,3.13,10.6,0
120,0,0,0,30.86,0,4.62,0,6.59,0,0,5.55,6.89,0,68.9,0,0,1.67,0,0,3.62,0
