stage,blastomeres,epidermis,eye,fast.muscle,glial,gut,immune,mucous,neural,paraxial.mesoderm,periderm
  5-6,23.95,0,0,0,0,0,0,0,0,0,0
 10-12,4.38,0,0,0,0,0,0,0,4.73,12.45,0
 24-34,0,0,0,0,0,0,0,0,2.54,0,10.43
 36-46,0,0,0,0,0,0,0,0,1.17,0,1.49
 48-58,0,0,0.58,0,0,0,0.38,0,1.11,0,5.08
 60-70,0,0.69,1.71,0,0,0,0,0,1.63,0,5.13
 72-82,0,0,0,0,0,0,0,0.74,6.56,0,0
 84-94,0,0,0,0,0,2.78,0,1.71,0,0,2.74
 96-106,0,0,0,0,0,0,0,2.38,0,0,6.38
108-118,0,0,1.38,0,3.4,0.61,0,0,1.08,0,6
120,0,0,0,1.18,0,2.91,0,0,0,0,3.03
