stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,12.98,92.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,135.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.41,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.73,3.21,0,20.77,0,0,8.56,0,0,0,0,0,0,0,0,0,0,0,153.23,0,0,0,54.24,0,4.57,0,0,0,0,0,0,0
 10-12,0,8.35,0,27.01,0,0,19.36,0,0,0,0,0,0,0,0,0,0,0,144.82,12.94,0,0,67.27,0,0,0,3.64,0,0,0,0,0
 14-21,0,0,0,1.05,6.78,1.24,0,0,0,0,0,0,0,0,0.99,0,0,0,19.54,0,1.55,0,0,0,0,0.91,0,2.81,0,0,0,0
 24-34,0,0,0,0,0.86,0,4.9,0,1.71,0,0.86,0,0,0,2.06,0,0,2.66,56.05,0,1.86,2.65,0,0,0,0,0,7.96,0,0,0,0
 36-46,0,0,0,0,1.27,0,7.59,0,1.48,0,0,0,0,0,6.68,0,0,0,116.52,0,5.21,0,0,0.66,0,0,0,22.64,0,1.54,0,0
 48-58,0,0,0,0,0,0,22.36,0.42,8.39,0,0,0,0,0,6.03,0,0.46,1.32,121.33,0.57,7.09,0.77,0,0,0,0,0,14.92,0,0,0,0
 60-70,0,0,0,0,0,0,60.23,0,8.28,1.21,0,0,0,0,9.88,0,0,0,137.33,0,6.51,1.89,0,0,0,0,0,8.41,0.99,0,0,0
 72-82,0,0,0,0,3.12,1.49,95.92,0,3.87,0,2.39,0,0.53,0.83,13.88,1.13,0,1.06,142.13,0,1.87,0,0,0.51,0,0,0,10.71,0.76,0,1.13,0
 84-94,0.62,0,0.56,0,0,0.63,29.44,0,18.52,0.84,0,0,0,0.65,8.88,0,0,0,160.43,0,4.13,0,0,0,0,0,0,5.56,0,0,0.77,0
 96-106,0,0,0,0,6.57,0,45.51,0,5,5.54,0,0.88,0,1.33,11.35,0,0.58,0.85,82.87,0,3.96,2.56,0,0,0,0,0,11.76,0,0,0.64,0
108-118,0,0,0.64,0,2,0,59.63,0,9.13,0,0,3.79,0,0.86,11.45,0,0,1.26,119.72,0.67,2.29,0.42,0,0,0,0,0,2.92,0,0.88,0,2.01
120,0,0,0,0,7.35,8.42,29.18,0,13.56,0,0,0,0,2.98,19.14,0,12.32,0,153.64,0,0,0,0,0,0,0,0,4.81,0,0,0,0
