stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,gut,hatching_gland,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature
  3-4,0,59.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.06,19.8,6.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.82,0,0,0,12.48,6.26,0,0,0
 10-12,0,0,3.47,0,15.07,0,0,0,0,0,0,0,0,0,34.64,4.59,0,0,0,35.63,0,0,0
 14-21,0,0,0,3.3,0,0,0,0,10.92,0,0,0,0,0,1.14,0,0,0,0,24.97,0,0,0.95
 24-34,0,0,0,11.28,0,0.89,0,0,14.33,0,0,0.77,0,0,15.73,0,0,0,0,59.54,0,0,1.36
 36-46,0,0,0,2.85,0.98,0,0,0,1.4,0,0,0,0.59,0,12.08,0,0,0.76,0,40.03,0.82,0,0
 48-58,0,0,0,3.99,0.82,0,0,0,1.13,0,0,1.38,0.4,0.4,18.93,0,0,0,0,37.56,0,0,0
 60-70,0,0,0,2.7,2.51,0,0,0,1.35,0.8,0,0,0.85,0,4.75,0,0,0,0,45.51,0,0,0
 72-82,0,0,0,4.63,0,0,0.63,0,1.94,1.35,0,0,1.34,0,5.38,0,0,1.14,0,75.81,0,0,2.05
 84-94,0,0,0,9.73,8.2,1.39,0,1.46,4.96,0,0,0,1.79,0,1.51,0,0,0.89,0,198.71,0,0,0
 96-106,0,0,0,7.13,2.24,12.12,0,0,4.21,0,0,1.27,1.83,0,22.37,0,1.3,0,0,226.91,0,4.97,0
108-118,0,0,0,12.1,0,7.26,0,0,5.54,0,1.71,1.71,1.19,0,5.33,0,0,1.76,0,221.34,1.14,1.01,0
120,0,0,0,42.6,0,2.76,0,0,0,0,0,2.12,2.05,0,11.67,0,0,0,0,131.9,0,0,0
