stage,mesenchyme,neural,notochord,periderm,spinal.cord,xanthophores
  7-9,0,0,5.66,0,0,0
 24-34,1.53,2.27,0,0.71,0,0
 48-58,0,2.61,0,0,0,1.01
 60-70,0.75,0,0,0.85,5.21,0
 72-82,0,3.72,0,0,0,0
 84-94,0,3.02,0,6.66,0,0
 96-106,0,0,0,5.64,0,0
108-118,4.46,0,0,1.46,0,0
120,0,2.66,0,13.19,0,0
