stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,5.22,0,0,2.9,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,1.37,10.06,1.55,0,0,4.83,0,3.41,0,0,0,0,0
 24-34,0,0.67,2.1,1.6,0,4.28,0,0,0,0,0,2.59,2.08,0,0,0,0,0,2.53,0,0,0,34.38,0,0,0,15.95,0,13.34,0,0,0,0,0
 36-46,0,0,2.38,1.27,0,5.65,0,0,0,5.03,0,0,0,0,1.72,0,0,0,2.34,0,0,0.58,41.87,0,0,0,17.17,0,7.67,0,0,0,0,1.9
 48-58,0,0,0,2.14,0,35.46,0,0,1.55,7.31,1.77,0.57,0,0,0,0,0,0,4.76,0,0,0.52,46.63,1.76,0.4,0,24.76,0,9.72,0,0,0,0,1.38
 60-70,0,0,11.9,8.65,0,306.54,0,0,0,16.44,0,3.41,5.51,0.72,6.5,0,0,0,15.84,1.48,15.78,0.93,42.85,0,0.63,1.9,27.61,0.93,19.18,0.77,0,0,1.13,5.08
 72-82,1.64,0,0.68,17.22,0,304,0,0,0,8.99,1.83,0.5,2.24,0,1.1,0,6.2,0,22.18,0,1.53,2.72,84.17,0.53,0,0.89,6.39,3.01,4.53,1.81,1.24,2.24,0,0
 84-94,0,0,5.47,30.85,1.84,253.64,0,2.61,0,10.55,11.11,1.23,6.49,3.61,4.19,3.07,0,0,17.43,1.42,0,0.66,87.24,2.5,2.76,1.8,28.55,9.14,0,1.78,1.13,0,8.08,3.28
 96-106,1.58,0,6.41,28.11,0,215.58,0,0,0,24.66,13.73,0,2.93,0.63,6.33,4.84,1.2,0,33.84,0,0,0,73.14,3.84,3.8,4.02,48.93,4.45,2,2.64,0,3.77,0,0
108-118,0,0,10.53,20.92,5.87,254.78,0,0.59,1,15.86,16.97,0,0.56,0.79,10.76,10.65,0.46,3.18,46.82,0.93,5.3,0,80.58,0,1.89,0,37.41,5.72,8.07,5.18,0,3.97,1.69,4.43
120,0,0,26.19,31.38,3.09,310.73,1.66,1,0,34.49,25.65,0,5.85,5.33,5.9,13.59,1.84,0,51.3,1.47,2.58,0,183.34,7.6,7.75,0,37.52,2.86,17.39,3.93,0,5.89,4.27,0
