stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,126.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.83,38.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.28,0,0,0,5.04,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.83,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,830.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,6.16,0,0,0,1.12,3.26,2.4,0,0,1.97,1.15,0,0,0,0,0
 24-34,0,0,0,4548.28,0,15.59,0.91,0.6,0,1.73,0,2.16,4.52,1.65,0,0,0,1.94,30.44,0,0,30.55,262.69,15.84,5.18,1.09,0,24.98,0,7.03,0,1.51,53.07,0,0,23.03,0,0.79
 36-46,0,0,11.3,3916.84,0,27.46,1.3,0,2.04,7.67,0,0,1.92,0,0,0,0,0,12.63,0,0,6.84,174.19,3.87,0,1.34,0,10.5,0,0,0,0,42.09,0,0,0,0,6.96
 48-58,0,0,2.74,6156.86,0,95.1,1.6,9.98,1.07,25.81,0,1.9,0.45,0,0,0,0,2.7,38.25,1.11,1.23,19.2,347.66,0.58,0.9,0.41,0,26.13,0,2.13,0,0,61.66,0,0,23.7,0,9.91
 60-70,0,0,2.12,4098.97,0,131.31,0,0,1.99,13.48,0.68,0.7,1.73,3.34,0.85,0,7.45,9.54,20.86,0,0,2.29,153.91,0,10.81,0,0,15.86,0,0,0,0,22.67,0,0,2.44,0,3.92
 72-82,0,0,1.78,4280.92,0.82,54.27,3.88,0.55,0,8.83,2.25,2.73,17.45,0.53,2.23,0,0,0,17.05,0,3.24,1.42,122.15,2.6,6.71,0,0,20.65,0,0.53,0,0,14.49,0,0,5.84,0,0
 84-94,0,0,3.12,5183.51,0,17.67,9.05,0,1.42,12.04,4.62,0,4.12,0,6.04,0,0,0,7.07,0,3.74,1.89,77.21,0.94,0,0,0,10.51,0,4.4,4.69,0,8.73,0,0.84,0.57,0,9.28
 96-106,0,0,8.62,4599.5,3.64,39.3,0.64,0,0,5.43,3.69,0,1.44,0,4.79,3.53,14.17,0,17.72,0.71,0,10.54,85.16,0,9.62,1,0,24.98,0,0,0,0,2,4.1,3.34,4.92,0.91,8.79
108-118,0,0,0.65,3465.21,0,33.35,5.31,0.46,0.87,3.78,4.43,0,6.16,2.26,0,2.2,0.97,0,14.49,0,0,0.54,62.7,1.37,4.13,2.21,0,10.38,0,0,0,0,5.48,0,0,1.54,1.65,0
120,0,0,5.33,3028.04,0,17.54,2.44,2.41,0,0,0,0,0,0,1.88,0,0,0,26.59,0,0,3.46,35.14,0,0,0,0,12.39,0,0,0,0,0,0,0,0,0,7.88
