stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,20.24,908.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16,419.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.08,0,0,0,6.91,6.15,0,0,0,0,0,0,0,0,0,0
  7-9,3.28,4.5,41.18,0,0,24.19,0,0,0,0,0,0,0,0,0,0,0,0,0,172.48,3.21,0,0,50.04,0,10.3,0,0,0,0,0,0,0,0,0
 10-12,0,20.55,34.97,0,0,44.78,0,0,0,0,0,0,0,0,0,0,0,0,0,544.51,28.55,0,0,147.52,0,6.79,0,35.27,0,0,3.28,0,0,0,0
 14-21,0,0,0,13.78,2.74,0.88,0,0,0,97.36,0.9,0,0,0,0,0,3.43,3.74,3.59,97.39,0,3.06,17.61,3.2,0,0,4.59,76.46,0,2.83,242.23,0,0,0,0
 24-34,0,0,0,1.54,0,6.75,0,0,0,36.38,0,0,0,0,0.98,0,0,4.55,1.41,68.82,4.06,20.9,3.16,0,0,0,0,18.15,0,4.09,82.15,0,0,2.69,0
 36-46,0,0,0,1.07,0,23.03,0,0,0.78,24.8,0,0,0,3.01,0,0,0,3.35,3.32,92.16,0,24.07,0,0,0,0,0,7.23,0.57,0,65.68,0,0,1.33,0
 48-58,0,0,0,0.52,0,23.27,0,0,0.65,17.03,0,0,0,0,0,8.89,0.48,5.99,0,49.37,0,15.09,9.63,0,0,0,0,3.77,0,0,37.71,0,0.64,1.87,0.63
 60-70,0,0,0,0.79,0.84,22.86,0,0,0,33.42,0,0,1.37,0,2.46,0,0,19.66,0,58.71,0,19.04,4.71,0,0,0,0,0,0,0,32.4,0,0,0,0
 72-82,0,0,0,0,0,21.03,0,0,0,19.33,0,0,0,0,3.73,0,0,6.11,0,41.42,0,26.4,2.89,0,0,0,0,1.78,0,0,19.35,0,0,0,4.24
 84-94,0,0,0,1.44,0,30.37,0,0,0.77,20.45,0,0,0,2.2,1.67,0,0,11.9,0,49.27,0,17.72,10.76,0,0,0,0,1.24,0,0,27.01,0,0.75,1.4,0
 96-106,0,0,0,2.24,2.34,17.66,0,0,0,21.18,1.49,1.36,0,0,11.57,0,0,2.86,3.19,23.04,0,39.02,6.26,0,0,0,0,1.82,0,0,11.22,0,0,0,2.61
108-118,0,0,0,1.96,0,28.77,0.98,1.29,0,27.34,0,0,0.44,0,2.83,0,0,8,0,26.42,0,29.7,7.47,0,1.45,0,0,2.27,0,0,16.17,0.89,0,0,5.13
120,0,0,0,0,0,9.8,0,0,0,0,2.6,0,0,0,4.94,0,0,13.1,0,27.53,0,14.38,14.32,0,0,0,0,9.87,0,0,6.11,0,0,0,0
