stage,blastomeres,epidermis,eye,glial,gut,mesenchyme,mucous,mural.cell,neural,taste,vascular.smooth.muscle
  5-6,40.94,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.49,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,8.05,0,0
 14-21,0,0,0,0,0,1.01,0,0,0,0,0
 36-46,0,0,0,0,0,0.8,0,0,0,0,0
 48-58,0,0,0,3.37,0,0.37,0,0,0,0,0
 72-82,0,1.57,0,0,0,1.65,0,1.46,0,0,0.83
 84-94,0,0,0,0,0,0,0,0,0,4.72,0
 96-106,0,5.07,0,0,6.74,3.93,0,0,5.72,0,2.52
108-118,0,5.53,0,2.08,4.46,3.82,1.06,0,0,0,0
120,0,24.38,0,0,11.62,0,0,4.76,0,0,0
