stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord
  3-4,13.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.72,0,0
 10-12,4.6,0,0,0,0,0,0,0,0,0,0,0,14.92,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0
 24-34,0,0,0,0,4.04,0,0,0.8,0,0,0,0,7.24,0,0,0,0,0
 36-46,0,0,0,0,16.87,0,0,1.82,0,0,0.73,0,15.57,0.59,0,0,0,0.66
 48-58,0,0,0,0,6.22,0,0,1.31,0,0,0.52,0,3.21,0,0,0,0,1.26
 60-70,0,0,0,0,71.87,0,1.48,0.97,0.79,0,0,0,37.52,0,0,0,0,2.45
 72-82,0,1.32,0.8,0,201.5,1.19,0,2.98,0,0,0.73,0,86.65,0,0,0,0,1.12
 84-94,0,0,1.33,0.98,226.58,0,0,1.36,0,0,0,0,42.38,0,0,0,0,0
 96-106,0,0,2.1,0,244.67,3.79,0,0,0,0.59,0,0.72,37.18,0,0.84,0,0.74,0
108-118,0,0,0,0,308.56,0,0,6.28,0,0,0,0.71,98.26,0.45,0,0,0,4.36
120,0,0,0,7.46,412.87,0,19.12,0,0,0,2.22,0,298.92,0,0,0,0,0
