stage,axial,blastomeres,endocrine.pancreas,endoderm,eye,fast.muscle,glial,gut,hatching.gland,mesenchyme,mucous,muscle,neural,notochord,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,0,249.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.1,290.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.85,0,6.83,5.96,0,0,0,7.03,0,0,0,140.22,14.06,40.36,0,0,0,0,0,0
 10-12,0,13.51,0,0,11.74,0,0,0,0,0,0,0,91.53,9.45,33.74,0,3.9,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0,0
 24-34,0,0,0,0,0,1.46,0,0,0,0,0,4.59,1.69,0,0,2.91,1.45,3.01,1.53,2.97,0
 36-46,0,0,0,0,0,0.93,0,0,0,0,0,3.64,3.73,0,0,16.63,0,0,0,0.85,0.68
 48-58,0,0,0,0,0,1.47,0.44,0,0,3,0,0,9.43,0,0,2.7,0,0.95,0,0,0
 60-70,0,0,0,0,7.26,0,1.74,0,0,0,0,0,0,0,0,5.63,0,0,0,0,0
 72-82,0,0,0.69,0,0.93,0.55,5.33,0,0,0,0,0,0,0,0,14.63,0,0,0,2.67,0
 84-94,0,0,0,0,0,0,12.64,0,0,2.59,0.92,0,0,0,0,21.67,0,0,0,0,0
 96-106,0,0,0,0,0.7,0,2.71,1.01,0,0,0,0,6.17,0,0,2.8,0,6.18,0,0,0
108-118,0,0,0,0,0,1.47,7.27,0,0,0,0,0,0,0,0,2.37,0,0,0,0.48,0
120,0,0,0,0,0,0,45.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
